Culture,Category,Original Meaning,Affix,Archaic Affix,Archaic Example,Intermediate Example,Modern Example
Ancient Greek,Topography,mountain,$oros,$oros,Chrys-oros,Chrysoros,Chrysores
Ancient Greek,Topography,plain,$pede,$pedion,Leuko-pedion,Leucopedion,Leucopede
Ancient Greek,Topography,plain,$pedion,$pedion,Leuko-pedion,Leucopedion,Leucopede
Ancient Greek,Topography,river,$potam,$potamos,Melan-potamos,Melampotamos,Melpotam
Ancient Greek,Topography,river,$potamos,$potamos,Melan-potamos,Melampotamos,Melpotam
Ancient Greek,Topography,salt water,$thalasse,$thalassa,Nea-thalassa,Neothalassa,Neothalasse
Ancient Greek,Topography,sea,$thalasse,$thalassa,Nea-thalassa,Neothalassa,Neothalasse
Ancient Greek,Topography,shore,$akto,$akte,Leuk-akte,Leucacte,Leucate
Ancient Greek,Topography,spring,$krene,$krene,Argyro-krene,Argyrokrene,Argyrene
Ancient Greek,Topography,spring,$pey,$pege,Hiera-pege,Hierapege,Hierapey
Anglo-Norman,Engineering,bridge,$pont,$pont,Long-pont,Longpont,Longpont
Anglo-Norman,Engineering,court manor,$court,$court,Hugh-court,Hucourt,Hughcourt
Anglo-Norman,Engineering,farm,$villiers,$villiers,Villers-le-bosc,Villiers,Villiers
Anglo-Norman,Engineering,outlying village,$villiers,$villiers,Villers-le-bosc,Villiers,Villiers
Anglo-Norman,Engineering,village,$ville,$ville,Gren-ville,Greneville,Greenville
Anglo-Norman,Fortification,castle,$chateau,$castel,Neuf-castel,Neufchastel,Newcastle
Anglo-Norman,Fortification,fort,$fort,$fort,Beau-fort,Beaufort,Beaufort
Anglo-Norman,Fortification,stronghold,$fort,$fort,Beau-fort,Beaufort,Beaufort
Anglo-Norman,Sacred,church,$eglise,$eglise,Sainte-eglise,Sainteglise,Sainteglise
Anglo-Norman,Status,beautiful,Beau$,Beau $,Beau-lieu,Beaulieu,Beaulieu
Anglo-Norman,Status,beautiful,Bel$,Bel $,Bel-voir,Belvoir,Belvoir
Anglo-Norman,Status,new,Neuf$,Neuf $,Neuf-marche,Neufmarche,Newmarket
Anglo-Norman,Topography,field,$champ,$champ,Beau-champ,Beauchamp,Beauchamp
Anglo-Norman,Topography,hill,$mont,$mont,Beau-mont,Beaumont,Beaumont
Anglo-Norman,Topography,hill,Mont$,Mont $,Mont-aigu,Montaigu,Montacute
Anglo-Norman,Topography,mountain,$mont,$mont,Beau-mont,Beaumont,Beaumont
Anglo-Norman,Topography,mountain,Mont$,Mont $,Mont-aigu,Montaigu,Montacute
Anglo-Norman,Topography,open country,$champ,$champ,Beau-champ,Beauchamp,Beauchamp
Anglo-Norman,Topography,spring,$fontaine,$fontaine,Belle-fontaine,Bellefontaine,Bellefontaine
Anglo-Norman,Topography,valley,$val,$val,Beau-val,Beauval,Beauval
Anglo-Norman,Topography,wood,$bois,$bois,Theydon-bois,Theydon Bois,Theydon Bois
Aquitanian/Vasconic,Engineering,settlement,$ain,$ain,Ander-ain,Anderain,Andrain
Aquitanian/Vasconic,Engineering,settlement,$os,$os,Burdin-os,Burdinos,Burdos
Aquitanian/Vasconic,Engineering,settlement,$osse,$osse,Iri-osse,Iriosse,Irosse
Aquitanian/Vasconic,Topography,valley,$aran,$aran,Beltz-aran,Beltzaran,Belzaran
Basque,Engineering,bridge,$zubi,$zubi,Harri-zubi,Harrizubi,Harrizubi
Basque,Engineering,house,$etxe,$etxe,Harri-etxe,Harrietxe,Harretxe
Basque,Engineering,pasture,$larre,$larre,Zabal-larre,Zaballarre,Zallarre
Basque,Engineering,port,$port,$portu,Itsas-portu,Itsasportu,Itsasport
Basque,Engineering,road,$bide,$bide,Errege-bide,Erregebide,Erbide
Basque,Engineering,settlement,$iri,$iri,Zahar-iri,Zahariri,Zahiri
Basque,Engineering,town,$hiri,$hiri,Berri-hiri,Berrihiri,Berriri
Basque,Engineering,town,$iri,$iri,Zahar-iri,Zahariri,Zahiri
Basque,Engineering,wagonway,$bide,$bide,Errege-bide,Erregebide,Erbide
Basque,Fortification,castle,$gaztel,$gaztelu,Harri-gaztelu,Harrigaztelu,Hargaztel
Basque,Sacred,church,$eliza,$eliza,Mendi-eliza,Mendieliza,Mendeliza
Basque,Status,black,Bels$,Beltz$,Beltz-ibar,Beltzibar,Belsibar
Basque,Status,large,Handi$,Handi$,Handi-mendi,Handimendi,Handimendi
Basque,Status,new,Berri$,Berri$,Berri-hiri,Berrihiri,Berriri
Basque,Status,old,Zarr$,Zahar$,Zahar-etxe,Zaharetxe,Zarreche
Basque,Status,small,Txiki$,Txiki$,Txiki-hiri,Txikihiri,Txikiri
Basque,Status,white,Zuri$,Zuri$,Zuri-mendi,Zurimendi,Zurimendi
Basque,Topography,field,$zelai,$zelai,Zabal-zelai,Zabalzelai,Zabalzale
Basque,Topography,forest,$baso,$baso,Beltz-baso,Beltzbaso,Belbaso
Basque,Topography,meadow,$larre,$larre,Zabal-larre,Zaballarre,Zallarre
Basque,Topography,meadow,$zelai,$zelai,Zabal-zelai,Zabalzelai,Zabalzale
Basque,Topography,mountain,$mendi,$mendi,Gorri-mendi,Gorrimendi,Gorrimendi
Basque,Topography,river,$ur,$ur,Beltz-ur,Beltzur,Belsur
Basque,Topography,rock,$harri,$harri,Gorri-harri,Gorriharri,Gorriarri
Basque,Topography,spring,$iturri,$iturri,Urre-iturri,Urreiturri,Urreturi
Basque,Topography,stone,$harri,$harri,Gorri-harri,Gorriharri,Gorriarri
Basque,Topography,stream,$erra,$erreka,Harri-erreka,Harrierreka,Harrera
Basque,Topography,valley,$ibar,$ibar,Zabal-ibar,Zabalibar,Zalibar
Bavarian,Engineering,people,$ing,$ingas,Pabo-ingas,Pabing,Pabing
Bavarian,Fortification,fortified place,$burg,$burg,Regan-burg,Regensburg,Regensburg
Bavarian,Sacred,church,$kirchen,$chirihha,Alten-chirihha,Altenkirchen,Altenkirchen
Bavarian,Sacred,monastery,$zell,$cella,Munch-cella,Munczell,Munchzell
Bavarian,Topography,lake,$see,$seo,Teger-seo,Tegernsee,Tegernsee
Bavarian,Topography,moss bog,$moos,$mos,Dach-mos,Dachmoos,Dachmoos
Bavarian,Topography,slope,$leiten,$lita,Hoch-lita,Hochleiten,Hochleiten
Bavarian,Topography,stream,$ach,$aha,Salz-aha,Salzach,Salzach
Bavarian,Topography,wetland,$moos,$mos,Dach-mos,Dachmoos,Dachmoos
Burgundian,Engineering,home,$heim,$haim,Gund-heim,Gundheim,Gundheim
Burgundian,Fortification,fortified place,$burg,$burg,Gund-burg,Gundburg,Gondbourg
Burgundian,Topography,field,$feld,$feld,Ragin-feld,Rainfeld,Rainfroy
Burgundian,Topography,march,$mark,$marka,Burgund-marka,Burgundmark,Bourgmarche
Celtiberian,Engineering,estate,$acon,$akon,Bili-acon,Biliacum,Billac
Celtiberian,Engineering,village,$acon,$akon,Bili-acon,Biliacum,Billac
Celtiberian,Fortification,fortress,$dunum,$dunom,Belo-dunom,Belodunum,Belodon
Celtiberian,Fortification,hill fort,$briga,$briga,Sego-briga,Segobriga,Segorbe
Celtiberian,Sacred,sacred grove,$nemet,$nemeton,Lugo-nemeton,Lugonemeton,Lunemet
Celtiberian,Sacred,sanctuary,$nemet,$nemeton,Lugo-nemeton,Lugonemeton,Lunemet
Celtiberian,Topography,ford,$riton,$riton,Aro-riton,Arroritum,Arroyo
Celtiberian,Topography,plain,$mago,$magos,Aro-magos,Aromagus,Aromago
Celtiberian,Topography,river,$ibon,$abona,Turi-abona,Turiabona,Turibon
Cisalpine Celtic,Engineering,people,$ate,$ates,Insubr-ates,Insubrates,Insubria
Cisalpine Celtic,Fortification,fortified town,$dun,$dunon,Como-dunon,Comodunum,Comodun
Cisalpine Celtic,Regional,high,$brica,$briga,Albo-briga,Albobrica,Albric
Cisalpine Celtic,Topography,clearing,$ialo,$ialon,Vindo-ialon,Vindoialon,Vignale
Cisalpine Celtic,Topography,open land,$ialo,$ialon,Vindo-ialon,Vindoialon,Vignale
Cisalpine Celtic,Topography,river,$onna,$onna,Tic-onna,Ticonna,Ticino
Cornish,Engineering,dwelling,Bod$,Bod$,Bod-min,Bodmin,Bodmin
Cornish,Engineering,dwelling,Bos$,Bos$,Bos-cawen,Boscawen,Boscawen
Cornish,Engineering,farm,Tre$,Tre$,Tre-gony,Tregony,Tregony
Cornish,Engineering,house,Chy$,Chy$,Chy-an-hal,Chyanhal,Chyanhal
Cornish,Engineering,landing place,Porth$,Porth$,Porth-curno,Porthcurno,Porthcurno
Cornish,Engineering,mine,Bal$,Bal$,Bal-dhu,Baldhu,Baldhu
Cornish,Engineering,mine,Wheal$,Wheal$,Wheal-jane,Wheal Jane,Wheal Jane
Cornish,Engineering,mine working,Bal$,Bal$,Bal-dhu,Baldhu,Baldhu
Cornish,Engineering,mine working,Wheal$,Wheal$,Wheal-jane,Wheal Jane,Wheal Jane
Cornish,Engineering,settlement,Tre$,Tre$,Tre-gony,Tregony,Tregony
Cornish,Fortification,fort,Car$,Caer$,Caer-hays,Carhays,Caerhays
Cornish,Sacred,sacred place,Lan$,Lan$,Lan-hydrock,Lanhydrock,Lanhydrock
Cornish,Sacred,sanctuary,Lan$,Lan$,Lan-hydrock,Lanhydrock,Lanhydrock
Cornish,Topography,downland moor,Goon$,Goon$,Goon-hilly,Goonhilly,Goonhilly
Cornish,Topography,harbor cove,Porth$,Porth$,Porth-curno,Porthcurno,Porthcurno
Cornish,Topography,headland,Pen$,Pen$,Pen-zans,Pensans,Penzance
Cornish,Topography,hollow,Tol$,Tol$,Tol-pedn,Tolpedn,Tolpedn
Cornish,Topography,moor heath,Ros$,Ros$,Ros-kear,Roskear,Roskear
Cornish,Topography,pond,Pol$,Pol$,Pol-zeath,Polseyth,Polzeath
Cornish,Topography,promontory,Pen$,Pen$,Pen-zans,Pensans,Penzance
Cornish,Topography,promontory,Ros$,Ros$,Ros-kear,Roskear,Roskear
Cornish,Topography,rock,Men$,Men$,Men-an-tol,Menantol,Men-an-Tol
Cornish,Topography,rock pile,Carn$,Carn$,Carn-brea,Carnbre,Carn Brea
Cornish,Topography,rounded hill,Tol$,Tol$,Tol-pedn,Tolpedn,Tolpedn
Cornish,Topography,sea,Mor$,Mor$,Mor-wenstow,Morwenstow,Morwenstow
Cornish,Topography,small lake,Pol$,Pol$,Pol-zeath,Polseyth,Polzeath
Cornish,Topography,stone,Men$,Men$,Men-an-tol,Menantol,Men-an-Tol
Cornish,Topography,unenclosed land,Goon$,Goon$,Goon-hilly,Goonhilly,Goonhilly
Cornish,Topography,valley,Nans$,Nans$,Nans-ledan,Nansledan,Nansledan
Cumbric,Engineering,farm,Trev$,Tre$,Trev-cair,Trevcair,Trecar
Cumbric,Engineering,settlement,Trev$,Tre$,Trev-cair,Trevcair,Trecar
Cumbric,Fortification,fortress,Din$,Dun$,Din-baer,Dinbair,Dunbar
Cumbric,Topography,ford,Rhyd$,Ryd$,Rhyd-glas,Rydglas,Rydale
Cumbric,Topography,headland,Pen$,Pen$,Pen-ros,Penros,Penrith
Cumbric,Topography,pond,$linn,$lin,Pen-linn,Penlinn,Penlin
Cumbric,Topography,promontory,Pen$,Pen$,Pen-ros,Penros,Penrith
Cumbric,Topography,river mouth,Aber$,Aber$,Aber-linn,Aberlin,Aberlin
Cumbric,Topography,small lake,$linn,$lin,Pen-linn,Penlinn,Penlin
Curonian,Engineering,village,$ciems,$kaimis,Kura-kaimis,Kurciems,Kurciems
Curonian,Topography,hill,$kalns,$kalnas,Kura-kalnas,Kurkalns,Kurkalns
Curonian,Topography,island,$sala,$sala,Kura-sala,Kursala,Kursala
Curonian,Topography,lagoon,$mari,$marios,Kura-marios,Kurmarios,Kurmar
Curonian,Topography,river,$upe,$upe,Venta-upe,Ventupe,Ventupe
Curonian,Topography,sea-water,$mari,$marios,Kura-marios,Kurmarios,Kurmar
Dacian,Engineering,settlement,$deva,$deva,Arci-deva,Arcideva,Deva
Dacian,Engineering,settlement,$scos,$skos,Daci-scos,Daciscos,Dacesco
Dacian,Engineering,town,$dava,$dava,Piro-bori-dava,Piroboridava,Piroboridav
Dacian,Fortification,fortified place,Sarmi$,Sarmize$,Sarmi-zegetusa,Sarmizegetusa,Sarmizegetusa
Dacian,Fortification,fortified town,$dava,$dava,Piro-bori-dava,Piroboridava,Piroboridav
Dacian,Topography,mountain,Carp$,Karp$,Carp-dava,Carpdava,Carpeda
Dacian,Topography,river,$apa,$apa,Alba-apa,Albapa,Apa Alba
Dacian,Topography,rocky,Carp$,Karp$,Carp-dava,Carpdava,Carpeda
Estonian,Engineering,village,$kula,$kula,Uus-kula,Uuskula,Uuskula
Estonian,Topography,bay,$laht,$laht,Suur-laht,Suurlaht,Suurlaht
Estonian,Topography,bog,$soo,$soo,Must-soo,Mustsoo,Mustsoo
Estonian,Topography,hill,$magi,$magi,Suur-magi,Suurmagi,Suurmae
Estonian,Topography,island,$saare,$saar,Suur-saar,Suursaar,Suursaare
Estonian,Topography,lake,$jarv,$jarv,Must-jarv,Mustjarv,Mustjarve
Estonian,Topography,river,$jogi,$jogi,Valge-jogi,Valgejogi,Valgejogi
Estonian,Topography,stream,$oja,$oja,Kivi-oja,Kivioja,Kivioja
Etruscan,Engineering,city,$spur,$spur,Vel-spur,Velspur,Velsper
Etruscan,Engineering,settlement,$clu,$clu,Tarchu-clu,Tarchuclu,Tarchul
Etruscan,Engineering,settlement,$ena,$ena,Rasen-ena,Rasena,Rasena
Etruscan,Engineering,settlement,$na,$na,Velath-na,Velathna,Volterra
Etruscan,Engineering,settlement,$perna,$perna,Puplu-perna,Pupluperna,Populpern
Etruscan,Engineering,settlement,Vel$,Vel$,Vel-zna,Velzna,Volsinii
Etruscan,Sacred,divine,Ais$,Ais$,Ais-na,Aisna,Esna
Etruscan,Topography,borderland,$tular,$tular,Ara-tular,Aratular,Artular
Etruscan,Topography,march,$tular,$tular,Ara-tular,Aratular,Artular
Etruscan,Topography,river,$arna,$arna,Ar-na,Arna,Arno
Etruscan,Topography,river,Clan$,Clan$,Clan-na,Clanna,Clane
Frankish,Engineering,court manor,$court,$curtis,Ragin-curtis,Raincourt,Raincourt
Frankish,Engineering,estate,$ville,$villa,Franco-villa,Francheville,Francheville
Frankish,Engineering,home,$em,$haim,Fara-haim,Farahem,Farem
Frankish,Engineering,village,$ville,$villa,Franco-villa,Francheville,Francheville
Frankish,Fortification,fortified place,$bourg,$burg,Hagan-burg,Hagenbourg,Haguenau
Frankish,Fortification,guard post,$guard,$warda,Franco-warda,Francward,Franguard
Frankish,Fortification,watch place,$guard,$warda,Franco-warda,Francward,Franguard
Frankish,Topography,brook,$beck,$baki,Hard-baki,Hardbec,Harbeck
Frankish,Topography,clearing,$rode,$roden,Hagan-roden,Hainrode,Hénin
Frankish,Topography,hill,$mont,$mont,Francon-berg,Franconmont,Francmont
Frankish,Topography,march,$mark,$marka,Flandra-marka,Flandremark,Flandermark
Frankish,Topography,mountain,$mont,$mont,Francon-berg,Franconmont,Francmont
Frankish,Topography,open land,$rode,$roden,Hagan-roden,Hainrode,Hénin
Frankish,Topography,stream,$beck,$baki,Hard-baki,Hardbec,Harbeck
Frankish,Topography,wood,$hel,$holt,Aski-holt,Ascholte,Auchel
Galician-Portuguese,Engineering,bridge,$ponte,$pons,Nova-ponte,Novaponte,Ponte Nova
Galician-Portuguese,Engineering,port,$porto,$portus,Bo-porto,Boporto,Porto Novo
Galician-Portuguese,Engineering,town,$vila,$villa,Nova-vila,Novavila,Vilanova
Galician-Portuguese,Fortification,fortified town,$castro,$castrum,Alto-castro,Altocastro,Castro Alto
Galician-Portuguese,Sacred,church,$igrexa,$ecclesia,Nova-igrexa,Novaigrexa,Igrexa Nova
Galician-Portuguese,Topography,chestnut grove,$souto,$saltus,Grande-souto,Grandesouto,Soutogrande
Galician-Portuguese,Topography,field,$campo,$campus,Novo-campo,Novocampo,Campo Novo
Galician-Portuguese,Topography,mountain,$monte,$mons,Alto-monte,Altomonte,Montelo
Galician-Portuguese,Topography,river bank,$ribeira,$riparia,Alta-ribeira,Altaribeira,Ribeira Alta
Galician-Portuguese,Topography,shore,$ribeira,$riparia,Alta-ribeira,Altaribeira,Ribeira Alta
Galician-Portuguese,Topography,spring,$fonte,$fons,Clara-fonte,Clarafonte,Fonte Clara
Galician-Portuguese,Topography,woodland,$souto,$saltus,Grande-souto,Grandesouto,Soutogrande
Gaulish,Engineering,bridge,$briva,$briva,Samarobriva,Samarobriva,Amiens
Gaulish,Engineering,estate,$acon,$akon,Alisi-acon,Alisiacum,Alise
Gaulish,Engineering,market field,$magos,$magos,Roto-magos,Rotomagus,Rouen
Gaulish,Engineering,market town,$duron,$duron,Divio-duron,Diviodurum,Metz
Gaulish,Engineering,people,$tais,$ates,Nanto-ates,Nantoates,Nantais
Gaulish,Engineering,road,$car,$carro,Magno-carro,Magnocarro,Magcar
Gaulish,Engineering,settlement,$bona,$bona,Vindo-bona,Vindobona,Vienna
Gaulish,Engineering,settlement,$lano,$lano,Mediolanon,Mediolanum,Milan
Gaulish,Engineering,village,$acon,$akon,Alisi-acon,Alisiacum,Alise
Gaulish,Engineering,wagonway,$car,$carro,Magno-carro,Magnocarro,Magcar
Gaulish,Fortification,fortress,$dun,$dunon,Lugo-dunon,Lugdunum,Lyon
Gaulish,Fortification,gate enclosed place,$duron,$duron,Divio-duron,Diviodurum,Metz
Gaulish,Regional,central,Medio$,Medio$,Mediolanon,Mediolanum,Milan
Gaulish,Regional,high,$briga,$briga,Sego-briga,Segobriga,Segorbe
Gaulish,Regional,middle,Medio$,Medio$,Mediolanon,Mediolanum,Milan
Gaulish,Sacred,sacred grove,$nemeton,$nemeton,Nanto-nemeton,Nantonemeton,Nemeton
Gaulish,Sacred,sanctuary,$nemeton,$nemeton,Nanto-nemeton,Nantonemeton,Nemeton
Gaulish,Status,white,Alb$,Albo-,Albo-magos,Albomagus,Aumage
Gaulish,Status,white,Vendo$,Vindo-,Vindo-magos,Vindomagus,Vendome
Gaulish,Topography,clearing,$ialo,$ialon,Nanto-ialon,Nantialon,Nanteuil
Gaulish,Topography,field,$magos,$magos,Roto-magos,Rotomagus,Rouen
Gaulish,Topography,ford,$riton,$riton,Novo-riton,Novoritum,Nevers
Gaulish,Topography,headland,$penn,$pennon,Penn-dunon,Pendunum,Pendon
Gaulish,Topography,open land,$ialo,$ialon,Nanto-ialon,Nantialon,Nanteuil
Gaulish,Topography,plain,$lano,$lano,Mediolanon,Mediolanum,Milan
Gaulish,Topography,promontory,$penn,$pennon,Penn-dunon,Pendunum,Pendon
Gaulish,Topography,river,$borne,$abona,Isar-abona,Isarabona,Isborne
Gaulish,Topography,river,$dubron,$dubros,Duro-dubron,Durodubrum,Dover
Gaulish,Topography,valley stream,Nant$,Nanto-,Nanto-briga,Nantobriga,Nanterre
Gaulish,Topography,wood,$cet,$ceton,Duro-ceton,Duroceton,Drocet
Gothic,Engineering,enclosure,$gards,$gards,Wulf-gards,Wulfgards,Wolfgard
Gothic,Engineering,home,$haims,$haims,Thiuda-haims,Thiudahaims,Tudheim
Gothic,Engineering,pasture,$winja,$winja,Grone-winja,Gronewinja,Greenwin
Gothic,Engineering,town,$staths,$staths,Guta-staths,Gutstaths,Goodstead
Gothic,Engineering,village,$haims,$haims,Thiuda-haims,Thiudahaims,Tudheim
Gothic,Fortification,fortified place,$baurgs,$baurgs,Athaulfs-baurgs,Athulfbaurgs,Athelburg
Gothic,Sacred,sacred enclosure,$alhs,$alhs,Guta-alhs,Gutalhs,Goodhall
Gothic,Sacred,temple,$alhs,$alhs,Guta-alhs,Gutalhs,Goodhall
Gothic,Topography,borderland,$marka,$marka,Guta-marka,Gutamarka,Gotmark
Gothic,Topography,march,$marka,$marka,Guta-marka,Gutamarka,Gotmark
Gothic,Topography,meadow,$winja,$winja,Grone-winja,Gronewinja,Greenwin
Gothic,Topography,river,$ahwa,$ahwa,Swinth-ahwa,Swinthawa,Swina
Illyrian,Engineering,settlement,$ana,$ana,Liss-ana,Lissana,Lisan
Illyrian,Engineering,settlement,$este,$este,Terg-este,Tergeste,Trieste
Illyrian,Engineering,settlement,$issus,$issos,Issa-issus,Issos,Issa
Illyrian,Engineering,settlement,$ona,$ona,Scard-ona,Scardona,Skradin
Illyrian,Regional,high,$briga,$briga,Dalm-briga,Dalmbriga,Dalbrig
Illyrian,Topography,river,Drin$,Drinos,Drin-ona,Drinona,Drin
Irish Gaelic,Engineering,pasture,Cloon$,Cluain $,Cluain Fada,Cloonfad,Cloonfad
Irish Gaelic,Engineering,town farmstead,Bally$,Baile $,Baile Meadhonach,Ballymena,Ballymena
Irish Gaelic,Fortification,fort,Dun$,Dun $,Dun Mor,Dunmore,Dunmore
Irish Gaelic,Fortification,fort,Lis$,Lios $,Lios na gCearrbhach,Liscarroll,Liscarroll
Irish Gaelic,Fortification,ringfort,Rath$,Rath $,Rath Fearnain,Rathfarnham,Rathfarnham
Irish Gaelic,Fortification,stronghold,Dun$,Dun $,Dun Mor,Dunmore,Dunmore
Irish Gaelic,Sacred,church,Kil$,Cill $,Cill Airne,Killarney,Killarney
Irish Gaelic,Sacred,church,Temple$,Teampall $,Teampall Mor,Templemore,Templemore
Irish Gaelic,Sacred,monastic cell,Kil$,Cill $,Cill Airne,Killarney,Killarney
Irish Gaelic,Sacred,temple,Temple$,Teampall $,Teampall Mor,Templemore,Templemore
Irish Gaelic,Topography,ford,Ath$,Ath $,Ath Luain,Athlone,Athlone
Irish Gaelic,Topography,height,Ard$,Ard $,Ard Mhacha,Armagh,Armagh
Irish Gaelic,Topography,hill,Knock$,Cnoc $,Cnoc na Riabh,Knocknarea,Knocknarea
Irish Gaelic,Topography,lake,Lough$,Loch $,Loch Riach,Loughrea,Loughrea
Irish Gaelic,Topography,meadow,Cloon$,Cluain $,Cluain Fada,Cloonfad,Cloonfad
Irish Gaelic,Topography,oak clearing,Derry$,Doire $,Doire Calgaigh,Derry,Derry
Irish Gaelic,Topography,oak grove,Derry$,Doire $,Doire Calgaigh,Derry,Derry
Irish Gaelic,Topography,raised strip of land,Drum$,Druim $,Druim Conrach,Drumcondra,Drumcondra
Irish Gaelic,Topography,ridge,Drum$,Druim $,Druim Conrach,Drumcondra,Drumcondra
Irish Gaelic,Topography,rock,Carrick$,Carraig $,Carraig Fhearghais,Carrickfergus,Carrickfergus
Irish Gaelic,Topography,small wood,Killy$,Coillidh $,Coillidh Bheag,Killybegs,Killybegs
Irish Gaelic,Topography,valley,Glen$,Gleann $,Gleann Da Loch,Glendalough,Glendalough
Irish Gaelic,Topography,wood,Killy$,Coillidh $,Coillidh Bheag,Killybegs,Killybegs
Karelian,Engineering,village,$kyla,$kyla,Uuzi-kyla,Uuzikyla,Uusikyla
Karelian,Topography,deep forest,$korpi,$korpi,Syva-korpi,Syvakorpi,Syvakorpi
Karelian,Topography,lake,$jarvi,$jarvi,Valge-jarvi,Valkeajarvi,Valkjarvi
Karelian,Topography,rapids,$koski,$koski,Musta-koski,Mustakoski,Mustkoski
Karelian,Topography,river,$jogi,$jogi,Kivi-jogi,Kivijogi,Kivijoki
Latin/Roman,Engineering,colony,$colony,$colonia,Colonia-camulodunum,Colneceaster,Colchester
Latin/Roman,Engineering,paved road,$strat,$strata,Strata-ford,Straetford,Stratford
Latin/Roman,Engineering,paved road,$street,$strata,Strata-via,Strete,Street
Latin/Roman,Engineering,port,$port,$portus,Portus-magnus,Portesmuthe,Portsmouth
Latin/Roman,Engineering,settlement,$colony,$colonia,Colonia-camulodunum,Colneceaster,Colchester
Latin/Roman,Fortification,military camp,$castra,$castra,Lindum-castra,Lindecastra,Lincoln
Latin/Roman,Fortification,military ground,$camp,$campus,Campus-magnus,Campmagna,Campden
Latin/Roman,Fortification,wall rampart,$wall,$vallum,Vallum-hadriani,Walton,Walton
Latin/Roman,Sacred,monastery,$minster,$monasterium,Monasterium-west,Westmonasterium,Westminster
Latin/Roman,Topography,field,$camp,$campus,Campus-magnus,Campmagna,Campden
Latin/Roman,Topography,harbor,$port,$portus,Portus-magnus,Portesmuthe,Portsmouth
Latvian/Latgalian,Engineering,bridge,$tilts,$tilts,Vecs-tilts,Vectilts,Vectilts
Latvian/Latgalian,Engineering,manor,$muiza,$muiza,Jauna-muiza,Jaunamuiza,Jaunmuiza
