species,ethnic,rate,maturity,prime,middleaged,elder,lifespan,mheight,mbmi,mskin,mhair,meyes,fheight,fbmi,fskin,fhair,feyes
Human,Dacian,1,16,24,44,66,100,174,25,light;olive,black;brown;auburn;gray;white;blond,brown;hazel;amber;green;blue;gray,162,24,light;olive,black;brown;auburn;gray;white;blond,brown;hazel;amber;green;blue;gray
Human,Estonian,1,16,24,44,66,100,174,24,light,blond;auburn;brown;red;black;gray;white,blue;gray;green;brown;hazel;amber,162,23,light,blond;auburn;brown;red;black;gray;white,blue;gray;green;brown;hazel;amber
Human,Etruscan,1,16,24,44,66,100,170,24,light;olive,black;brown;auburn;gray;white,brown;hazel;amber;green;gray;blue,158,23,light;olive,black;brown;auburn;gray;white,brown;hazel;amber;green;gray;blue
Human,Frankish,5,16,24,44,66,100,176,25,light,blond;auburn;black;brown;red;gray;white,amber;blue;brown;gray;green;hazel,163,24,light,blond;auburn;black;brown;red;gray;white,amber;blue;brown;gray;green;hazel
Human,Galician-Portuguese,1,16,24,44,66,100,171,24,light;olive,black;brown;auburn;gray;white;blond,brown;hazel;amber;green;blue;gray,159,23,light;olive,black;brown;auburn;gray;white;blond,brown;hazel;amber;green;blue;gray
Human,Gaulish,50,16,24,44,66,100,174,24,light,blond;auburn;brown;red;black;gray;white,amber;blue;brown;gray;green;hazel,162,23,light,blond;auburn;brown;red;black;gray;white,amber;blue;brown;gray;green;hazel
Human,Gothic,1,16,24,44,66,100,176,25,light,blond;auburn;black;brown;red;gray;white,amber;blue;brown;gray;green;hazel,163,24,light,blond;auburn;black;brown;red;gray;white,amber;blue;brown;gray;green;hazel
Human,Illyrian,1,16,24,44,66,100,174,25,light;olive,black;brown;auburn;gray;white;blond,brown;hazel;amber;green;blue;gray,162,24,light;olive,black;brown;auburn;gray;white;blond,brown;hazel;amber;green;blue;gray
Human,Irish Gaelic,50,16,24,44,66,100,174,24,light,blond;auburn;brown;red;black;gray;white,amber;blue;brown;gray;green;hazel,162,23,light,blond;auburn;brown;red;black;gray;white,amber;blue;brown;gray;green;hazel
Human,Karelian,1,16,24,44,66,100,174,24,light,blond;auburn;brown;red;black;gray;white,blue;gray;green;brown;hazel;amber,162,23,light,blond;auburn;brown;red;black;gray;white,blue;gray;green;brown;hazel;amber
Human,Latin/Roman,1,16,24,44,66,100,170,24,light;olive,black;brown;auburn;gray;white,brown;hazel;amber;green;gray;blue,158,23,light;olive,black;brown;auburn;gray;white,brown;hazel;amber;green;gray;blue
Human,Latvian/Latgalian,1,16,24,44,66,100,174,24,light,blond;auburn;brown;red;black;gray;white,blue;gray;green;brown;hazel;amber,162,23,light,blond;auburn;brown;red;black;gray;white,blue;gray;green;brown;hazel;amber
Human,Livonian,1,16,24,44,66,100,174,24,light,blond;auburn;brown;red;black;gray;white,blue;gray;green;brown;hazel;amber,162,23,light,blond;auburn;brown;red;black;gray;white,blue;gray;green;brown;hazel;amber
Human,Lombard,1,16,24,44,66,100,176,25,light,blond;auburn;black;brown;red;gray;white,amber;blue;brown;gray;green;hazel,163,24,light,blond;auburn;black;brown;red;gray;white,amber;blue;brown;gray;green;hazel
Human,Messapic,1,16,24,44,66,100,170,24,light;olive,black;brown;auburn;gray;white,brown;hazel;amber;green;gray;blue,158,23,light;olive,black;brown;auburn;gray;white,brown;hazel;amber;green;gray;blue
Human,Middle Dutch,200,16,24,44,66,100,180,25,light;dark,blond;auburn;black;brown;red;gray;white,amber;blue;brown;gray;green;hazel,150,24,light;dark,blond;auburn;black;brown;red;gray;white,amber;blue;brown;gray;green;hazel
Human,Middle English,200,16,24,44,66,100,180,25,light;dark,blond;auburn;black;brown;red;gray;white,amber;blue;brown;gray;green;hazel,160,24,light;dark,blond;auburn;black;brown;red;gray;white,amber;blue;brown;gray;green;hazel
Human,Middle German,200,16,24,44,66,100,180,25,light,blond;auburn;black;brown;red;gray;white,amber;blue;brown;gray;green;hazel,160,24,light,blond;auburn;black;brown;red;gray;white,amber;blue;brown;gray;green;hazel
Human,Middle Scots,100,16,24,44,66,100,180,25,light,blond;auburn;red;gray;white,amber;blue;brown;gray;green;hazel,160,24,light,blond;auburn;red;gray;white,amber;blue;brown;gray;green;hazel
Human,Mycenaean Greek,1,16,24,44,66,100,171,24,light;olive,black;brown;auburn;gray;white,brown;hazel;amber;green;blue;gray,159,23,light;olive,black;brown;auburn;gray;white,brown;hazel;amber;green;blue;gray
Human,Norman Norse-French Hybrid,1,16,24,44,66,100,178,25,light,blond;auburn;black;brown;red;gray;white,amber;blue;brown;gray;green;hazel,164,24,light,blond;auburn;black;brown;red;gray;white,amber;blue;brown;gray;green;hazel
Human,Old Catalan,1,16,24,44,66,100,171,24,light;olive,black;brown;auburn;gray;white;blond,brown;hazel;amber;green;blue;gray,159,23,light;olive,black;brown;auburn;gray;white;blond,brown;hazel;amber;green;blue;gray
Human,Old Czech/Moravian,1,16,24,44,66,100,175,24,light;olive,blond;auburn;black;brown;red;gray;white,blue;gray;green;brown;hazel;amber,163,23,light;olive,blond;auburn;black;brown;red;gray;white,blue;gray;green;brown;hazel;amber
Human,Old Danish,1,16,24,44,66,100,178,25,light,blond;auburn;brown;red;gray;white;black,blue;gray;green;brown;hazel;amber,165,24,light,blond;auburn;brown;red;gray;white;black,blue;gray;green;brown;hazel;amber
Human,Old East Slavic,1,16,24,44,66,100,175,24,light;olive,blond;auburn;black;brown;red;gray;white,blue;gray;green;brown;hazel;amber,163,23,light;olive,blond;auburn;black;brown;red;gray;white,blue;gray;green;brown;hazel;amber
Human,Old English,50,16,24,44,66,100,178,25,light,blond;auburn;black;brown;red;gray;white,amber;blue;brown;gray;green;hazel,164,24,light,blond;auburn;black;brown;red;gray;white,amber;blue;brown;gray;green;hazel
Human,Old Finnish,1,16,24,44,66,100,174,24,light,blond;auburn;brown;red;black;gray;white,blue;gray;green;brown;hazel;amber,162,23,light,blond;auburn;brown;red;black;gray;white,blue;gray;green;brown;hazel;amber
Human,Old French,50,16,24,44,66,100,178,25,light,blond;auburn;black;brown;red;gray;white,amber;blue;brown;gray;green;hazel,164,24,light,blond;auburn;black;brown;red;gray;white,amber;blue;brown;gray;green;hazel
Human,Old High German,50,16,24,44,66,100,176,25,light,blond;auburn;black;brown;red;gray;white,amber;blue;brown;gray;green;hazel,163,24,light,blond;auburn;black;brown;red;gray;white,amber;blue;brown;gray;green;hazel
Human,Old Lithuanian,1,16,24,44,66,100,174,24,light,blond;auburn;brown;red;black;gray;white,blue;gray;green;brown;hazel;amber,162,23,light,blond;auburn;brown;red;black;gray;white,blue;gray;green;brown;hazel;amber
Human,Old Norse,5,16,24,44,66,100,178,25,light,blond;auburn;brown;red;gray;white;black,blue;gray;green;brown;hazel;amber,165,24,light,blond;auburn;brown;red;gray;white;black,blue;gray;green;brown;hazel;amber
Human,Old Occitan,1,16,24,44,66,100,171,24,light;olive,black;brown;auburn;gray;white;blond,brown;hazel;amber;green;blue;gray,159,23,light;olive,black;brown;auburn;gray;white;blond,brown;hazel;amber;green;blue;gray
Human,Old Polish/West Slavic,1,16,24,44,66,100,175,24,light;olive,blond;auburn;black;brown;red;gray;white,blue;gray;green;brown;hazel;amber,163,23,light;olive,blond;auburn;black;brown;red;gray;white,blue;gray;green;brown;hazel;amber
Human,Old Prussian,1,16,24,44,66,100,174,24,light,blond;auburn;brown;red;black;gray;white,blue;gray;green;brown;hazel;amber,162,23,light,blond;auburn;brown;red;black;gray;white,blue;gray;green;brown;hazel;amber
Human,Old Slavic,1,16,24,44,66,100,175,24,light;olive,blond;auburn;black;brown;red;gray;white,blue;gray;green;brown;hazel;amber,163,23,light;olive,blond;auburn;black;brown;red;gray;white,blue;gray;green;brown;hazel;amber
Human,Old Spanish/Castilian,1,16,24,44,66,100,171,24,light;olive,black;brown;auburn;gray;white;blond,brown;hazel;amber;green;blue;gray,159,23,light;olive,black;brown;auburn;gray;white;blond,brown;hazel;amber;green;blue;gray
Human,Old Swedish,1,16,24,44,66,100,178,25,light,blond;auburn;brown;red;gray;white;black,blue;gray;green;brown;hazel;amber,165,24,light,blond;auburn;brown;red;gray;white;black,blue;gray;green;brown;hazel;amber
Human,Pannonian,1,16,24,44,66,100,174,25,light;olive,black;brown;auburn;gray;white;blond,brown;hazel;amber;green;blue;gray,162,24,light;olive,black;brown;auburn;gray;white;blond,brown;hazel;amber;green;blue;gray
Human,Phoenician/Punic,1,16,24,44,66,100,171,24,olive;dark;light,black;brown;auburn;gray;white,brown;hazel;amber;green,159,23,olive;dark;light,black;brown;auburn;gray;white,brown;hazel;amber;green
Human,Phrygian,1,16,24,44,66,100,171,24,light;olive,black;brown;auburn;gray;white,brown;hazel;amber;green;blue;gray,159,23,light;olive,black;brown;auburn;gray;white,brown;hazel;amber;green;blue;gray
Human,Pictish/Brittonic Substrate,5,16,24,44,66,100,174,24,light,blond;auburn;brown;red;black;gray;white,amber;blue;brown;gray;green;hazel,162,23,light,blond;auburn;brown;red;black;gray;white,amber;blue;brown;gray;green;hazel
Human,Romanian/Vlach,1,16,24,44,66,100,174,25,light;olive,black;brown;auburn;gray;white;blond,brown;hazel;amber;green;blue;gray,162,24,light;olive,black;brown;auburn;gray;white;blond,brown;hazel;amber;green;blue;gray
Human,Samnite/Oscan,1,16,24,44,66,100,170,24,light;olive,black;brown;auburn;gray;white,brown;hazel;amber;green;gray;blue,158,23,light;olive,black;brown;auburn;gray;white,brown;hazel;amber;green;gray;blue
Human,Sardinian,1,16,24,44,66,100,170,24,light;olive,black;brown;auburn;gray;white,brown;hazel;amber;green;gray;blue,158,23,light;olive,black;brown;auburn;gray;white,brown;hazel;amber;green;gray;blue
Human,Scythian/Sarmatian,1,16,24,44,66,100,174,24,light;olive;dark,black;brown;blond;auburn;gray;white,brown;hazel;amber;blue;gray;green,161,23,light;olive;dark,black;brown;blond;auburn;gray;white,brown;hazel;amber;blue;gray;green
Human,Sicel,1,16,24,44,66,100,170,24,light;olive,black;brown;auburn;gray;white,brown;hazel;amber;green;gray;blue,158,23,light;olive,black;brown;auburn;gray;white,brown;hazel;amber;green;gray;blue
Human,Thracian,1,16,24,44,66,100,174,25,light;olive,black;brown;auburn;gray;white;blond,brown;hazel;amber;green;blue;gray,162,24,light;olive,black;brown;auburn;gray;white;blond,brown;hazel;amber;green;blue;gray
Human,Tocharian,1,16,24,44,66,100,172,24,light;olive;dark,black;brown;blond;gray;white,brown;hazel;amber;blue;gray;green,160,23,light;olive;dark,black;brown;blond;gray;white,brown;hazel;amber;blue;gray;green
Human,Umbrian,1,16,24,44,66,100,170,24,light;olive,black;brown;auburn;gray;white,brown;hazel;amber;green;gray;blue,158,23,light;olive,black;brown;auburn;gray;white,brown;hazel;amber;green;gray;blue
Human,Venetic,1,16,24,44,66,100,170,24,light;olive,black;brown;auburn;gray;white,brown;hazel;amber;green;gray;blue,158,23,light;olive,black;brown;auburn;gray;white,brown;hazel;amber;green;gray;blue
Human,Visigothic,2,16,24,44,66,100,176,25,light,blond;auburn;black;brown;red;gray;white,amber;blue;brown;gray;green;hazel,163,24,light,blond;auburn;black;brown;red;gray;white,amber;blue;brown;gray;green;hazel
Human,Welsh,5,16,24,44,66,100,174,24,light,blond;auburn;brown;red;black;gray;white,amber;blue;brown;gray;green;hazel,162,23,light,blond;auburn;brown;red;black;gray;white,amber;blue;brown;gray;green;hazel
