name,ethnic,rate
Euboulides,Ancient Greek,1
Eubouliad,Ancient Greek,1
Euboulios,Ancient Greek,1
Eubouleus,Ancient Greek,1
Euboulid,Ancient Greek,1
Leonidides,Ancient Greek,1
Beaumont,Anglo-Norman,3
Beauchamp,Anglo-Norman,3
Mortimer,Anglo-Norman,3
Mowbray,Anglo-Norman,3
Neville,Anglo-Norman,3
Percy,Anglo-Norman,3
Warenne,Anglo-Norman,3
Lacy,Anglo-Norman,3
Clare,Anglo-Norman,3
Bigod,Anglo-Norman,3
Talbot,Anglo-Norman,2
Courcy,Anglo-Norman,2
Fitzalan,Anglo-Norman,2
Fitzosbern,Anglo-Norman,2
Fitzwalter,Anglo-Norman,2
Devere,Anglo-Norman,2
Montfort,Anglo-Norman,2
Bohun,Anglo-Norman,2
FitzGuy,Anglo-Norman,2
DeGuy,Anglo-Norman,2
Guyville,Anglo-Norman,2
Guymont,Anglo-Norman,2
Guycourt,Anglo-Norman,2
FitzIvo,Anglo-Norman,2
DeIvo,Anglo-Norman,1
Ivoville,Anglo-Norman,1
Ivomont,Anglo-Norman,1
Ivocourt,Anglo-Norman,1
FitzOdo,Anglo-Norman,1
DeOdo,Anglo-Norman,1
Odoville,Anglo-Norman,1
Odomont,Anglo-Norman,1
Odocourt,Anglo-Norman,1
FitzAdam,Anglo-Norman,1
DeAdam,Anglo-Norman,1
Adamville,Anglo-Norman,1
Adamont,Anglo-Norman,1
Adamcourt,Anglo-Norman,1
FitzAlan,Anglo-Norman,1
DeAlan,Anglo-Norman,1
Alanville,Anglo-Norman,1
Alanmont,Anglo-Norman,1
Alancourt,Anglo-Norman,1
FitzFulk,Anglo-Norman,1
DeFulk,Anglo-Norman,1
Fulkville,Anglo-Norman,1
Fulkmont,Anglo-Norman,1
Fulkcourt,Anglo-Norman,1
Tarbelli,Aquitanian/Vasconic,3
Auscius,Aquitanian/Vasconic,3
Elimberris,Aquitanian/Vasconic,3
Lapurdi,Aquitanian/Vasconic,3
Iluro,Aquitanian/Vasconic,3
Bigerri,Aquitanian/Vasconic,3
Vascon,Aquitanian/Vasconic,3
Garona,Aquitanian/Vasconic,3
Convenae,Aquitanian/Vasconic,3
Sibusates,Aquitanian/Vasconic,3
Oscidates,Aquitanian/Vasconic,2
Benearni,Aquitanian/Vasconic,2
Lugdunon,Aquitanian/Vasconic,2
Aturris,Aquitanian/Vasconic,2
Belsunce,Aquitanian/Vasconic,2
Urdunia,Aquitanian/Vasconic,2
Arccoez,Aquitanian/Vasconic,2
Arccoitz,Aquitanian/Vasconic,2
Arccoena,Aquitanian/Vasconic,2
Arccoaga,Aquitanian/Vasconic,2
Arccola,Aquitanian/Vasconic,2
Belexez,Aquitanian/Vasconic,2
Belexitz,Aquitanian/Vasconic,2
Belexena,Aquitanian/Vasconic,2
Belexaga,Aquitanian/Vasconic,1
Belexola,Aquitanian/Vasconic,1
Cisonez,Aquitanian/Vasconic,1
Cisonitz,Aquitanian/Vasconic,1
Cisonena,Aquitanian/Vasconic,1
Cisonaga,Aquitanian/Vasconic,1
Cisonola,Aquitanian/Vasconic,1
Lurcoez,Aquitanian/Vasconic,1
Lurcoitz,Aquitanian/Vasconic,1
Lurcoena,Aquitanian/Vasconic,1
Lurcoaga,Aquitanian/Vasconic,1
Lurcola,Aquitanian/Vasconic,1
Ossonez,Aquitanian/Vasconic,1
Ossonitz,Aquitanian/Vasconic,1
Ossonena,Aquitanian/Vasconic,1
Ossonaga,Aquitanian/Vasconic,1
Ossonola,Aquitanian/Vasconic,1
Anderez,Aquitanian/Vasconic,1
Anderitz,Aquitanian/Vasconic,1
Anderena,Aquitanian/Vasconic,1
Anderaga,Aquitanian/Vasconic,1
Anderola,Aquitanian/Vasconic,1
Ilunnoez,Aquitanian/Vasconic,1
Ilunnoitz,Aquitanian/Vasconic,1
Etxeberria,Basque,3
Goikoetxea,Basque,3
Ibarra,Basque,3
Mendieta,Basque,3
Zabala,Basque,3
Aguirre,Basque,3
Ochoa,Basque,3
Garate,Basque,3
Arrieta,Basque,3
Elizondo,Basque,3
Loyola,Basque,2
Ugarte,Basque,2
Arostegui,Basque,2
Echevarria,Basque,2
Larralde,Basque,2
Zubizarreta,Basque,2
Mendiola,Basque,2
Arana,Basque,2
Argiez,Basque,2
Argitz,Basque,2
Argiena,Basque,2
Argiaga,Basque,2
Argiola,Basque,2
Ederez,Basque,2
Ederitz,Basque,1
Ederena,Basque,1
Ederaga,Basque,1
Ederola,Basque,1
Ibaiez,Basque,1
Ibaitz,Basque,1
Ibaiena,Basque,1
Ibaiaga,Basque,1
Ibaiola,Basque,1
Ikerez,Basque,1
Ikeritz,Basque,1
Ikerena,Basque,1
Ikeraga,Basque,1
Ikerola,Basque,1
Lopez,Basque,1
Lopeitz,Basque,1
Lopena,Basque,1
Lopeaga,Basque,1
Lopeola,Basque,1
Oierez,Basque,1
Oieritz,Basque,1
Oierena,Basque,1
Oieraga,Basque,1
Oierola,Basque,1
Peruez,Basque,1
Peruitz,Basque,1
Peruena,Basque,1
Peruaga,Basque,1
Peruola,Basque,1
Unaiez,Basque,1
Welf,Bavarian,3
Wittelsbach,Bavarian,3
Andechs,Bavarian,3
Scheyern,Bavarian,3
Tegernsee,Bavarian,3
Freising,Bavarian,3
Isaring,Bavarian,3
Leching,Bavarian,3
Inngauer,Bavarian,3
Donaugauer,Bavarian,3
Passauer,Bavarian,2
Regensburger,Bavarian,2
Babenberg,Bavarian,2
Traungauer,Bavarian,2
Vohburg,Bavarian,2
Ebersberg,Bavarian,2
Ottoing,Bavarian,2
Ottomann,Bavarian,2
Ottowald,Bavarian,2
Ottohart,Bavarian,2
Ottobert,Bavarian,2
Paboing,Bavarian,2
Pabomann,Bavarian,2
Pabowald,Bavarian,2
Pabohart,Bavarian,1
Pabobert,Bavarian,1
Welfing,Bavarian,1
Welfmann,Bavarian,1
Welfwald,Bavarian,1
Welfhart,Bavarian,1
Welfbert,Bavarian,1
Ernsting,Bavarian,1
Ernstmann,Bavarian,1
Ernstwald,Bavarian,1
Ernsthart,Bavarian,1
Ernstbert,Bavarian,1
Anselming,Bavarian,1
Anselmann,Bavarian,1
Anselmwald,Bavarian,1
Anselmhart,Bavarian,1
Anselmbert,Bavarian,1
Arnolding,Bavarian,1
Arnoldmann,Bavarian,1
Arnoldwald,Bavarian,1
Arnoldhart,Bavarian,1
Arnoldbert,Bavarian,1
Konrading,Bavarian,1
Konradmann,Bavarian,1
Gibichung,Burgundian,3
Gundaharing,Burgundian,3
Gondiocing,Burgundian,3
Gundobading,Burgundian,3
Sigismunding,Burgundian,3
Godomaring,Burgundian,3
Nibelung,Burgundian,3
Burgunding,Burgundian,3
Sapaudian,Burgundian,3
Lugdunian,Burgundian,3
Viennensis,Burgundian,2
Rhodaning,Burgundian,2
Saoning,Burgundian,2
Durance,Burgundian,2
Arelate,Burgundian,2
Valentinois,Burgundian,2
Agiulfing,Burgundian,2
Agiulfmann,Burgundian,2
Agiulfwald,Burgundian,2
Agiulfhart,Burgundian,2
Agiulfbert,Burgundian,2
Gibicing,Burgundian,2
Gibicmann,Burgundian,2
Gibicwald,Burgundian,2
Gibichart,Burgundian,1
Gibicbert,Burgundian,1
Albomaring,Burgundian,1
Albomarmann,Burgundian,1
Albomarwald,Burgundian,1
Albomarhart,Burgundian,1
Albomarbert,Burgundian,1
Clotharing,Burgundian,1
Clotharmann,Burgundian,1
Clotharwald,Burgundian,1
Clotharhart,Burgundian,1
Clotharbert,Burgundian,1
Godomarmann,Burgundian,1
Godomarwald,Burgundian,1
Godomarhart,Burgundian,1
Godomarbert,Burgundian,1
Gondiocmann,Burgundian,1
Gondiocwald,Burgundian,1
Gondiochart,Burgundian,1
Gondiocbert,Burgundian,1
Ricimering,Burgundian,1
Ricimermann,Burgundian,1
Ricimerwald,Burgundian,1
Ricimerhart,Burgundian,1
Beliaskon,Celtiberian,3
Numantian,Celtiberian,3
Arevaci,Celtiberian,3
Lusones,Celtiberian,3
Titti,Celtiberian,3
Belli,Celtiberian,3
Segontian,Celtiberian,3
Uxamian,Celtiberian,3
Contrebian,Celtiberian,3
Termestine,Celtiberian,3
Nertobrigan,Celtiberian,2
Bilbilitan,Celtiberian,2
Clunian,Celtiberian,2
Oretani,Celtiberian,2
Pelendones,Celtiberian,2
Titian,Celtiberian,2
Carosacos,Celtiberian,2
Carosrix,Celtiberian,2
Carosmaros,Celtiberian,2
Carosgnatos,Celtiberian,2
Carosdunon,Celtiberian,2
Uxamacos,Celtiberian,2
Uxamarix,Celtiberian,2
Uxamamaros,Celtiberian,2
Uxamagnatos,Celtiberian,1
Uxamadunon,Celtiberian,1
Ambatacos,Celtiberian,1
Ambatrix,Celtiberian,1
Ambatmaros,Celtiberian,1
Ambatgnatos,Celtiberian,1
Ambatdunon,Celtiberian,1
Aucalacos,Celtiberian,1
Aucalrix,Celtiberian,1
Aucalmaros,Celtiberian,1
Aucalgnatos,Celtiberian,1
Aucaldunon,Celtiberian,1
Belenacos,Celtiberian,1
Belenrix,Celtiberian,1
Belenmaros,Celtiberian,1
Belengnatos,Celtiberian,1
Belendunon,Celtiberian,1
Caturixacos,Celtiberian,1
Caturixrix,Celtiberian,1
Caturixmaros,Celtiberian,1
Caturixgnatos,Celtiberian,1
Caturixdunon,Celtiberian,1
Virotacos,Celtiberian,1
Virotrix,Celtiberian,1
Insuber,Cisalpine Celtic,3
Boian,Cisalpine Celtic,3
Cenomani,Cisalpine Celtic,3
Taurini,Cisalpine Celtic,3
Lepontic,Cisalpine Celtic,3
Brixian,Cisalpine Celtic,3
Mediolanian,Cisalpine Celtic,3
Padan,Cisalpine Celtic,3
Cenomar,Cisalpine Celtic,3
Lingonian,Cisalpine Celtic,3
Senonian,Cisalpine Celtic,2
Carni,Cisalpine Celtic,2
Venostes,Cisalpine Celtic,2
Salassi,Cisalpine Celtic,2
Orobii,Cisalpine Celtic,2
Tauriscan,Cisalpine Celtic,2
Nantosacos,Cisalpine Celtic,2
Nantosrix,Cisalpine Celtic,2
Nantosmaros,Cisalpine Celtic,2
Nantosgnatos,Cisalpine Celtic,2
Nantosdunon,Cisalpine Celtic,2
Belenacos,Cisalpine Celtic,2
Belenrix,Cisalpine Celtic,2
Belenmaros,Cisalpine Celtic,2
Belengnatos,Cisalpine Celtic,1
Belendunon,Cisalpine Celtic,1
Brennacos,Cisalpine Celtic,1
Brennrix,Cisalpine Celtic,1
Brennmaros,Cisalpine Celtic,1
Brenngnatos,Cisalpine Celtic,1
Brenndunon,Cisalpine Celtic,1
Cavaracos,Cisalpine Celtic,1
Cavarix,Cisalpine Celtic,1
Cavarmaros,Cisalpine Celtic,1
Cavargnatos,Cisalpine Celtic,1
Cavardunon,Cisalpine Celtic,1
Comaracos,Cisalpine Celtic,1
Comarix,Cisalpine Celtic,1
Comarmaros,Cisalpine Celtic,1
Comargnatos,Cisalpine Celtic,1
Comardunon,Cisalpine Celtic,1
Adbogacos,Cisalpine Celtic,1
Adbogrix,Cisalpine Celtic,1
Adbogmaros,Cisalpine Celtic,1
Adbognatos,Cisalpine Celtic,1
Adbogdunon,Cisalpine Celtic,1
Dumnacacos,Cisalpine Celtic,1
Dumnacrix,Cisalpine Celtic,1
Trevelyan,Cornish,3
Penrose,Cornish,3
Trelawny,Cornish,3
Pendarves,Cornish,3
Polwhele,Cornish,3
Nanscarrow,Cornish,3
Carminow,Cornish,3
Tremayne,Cornish,3
Trevithick,Cornish,3
Penzance,Cornish,3
Penhaligon,Cornish,2
Treliske,Cornish,2
Roscarrock,Cornish,2
Godolphin,Cornish,2
Boscawen,Cornish,2
Carnsew,Cornish,2
Tregarth,Cornish,2
Trevorrow,Cornish,2
ApIago,Cornish,2
PenIago,Cornish,2
TreIago,Cornish,2
Iagowyn,Cornish,2
Iagoawc,Cornish,2
ApJago,Cornish,2
PenJago,Cornish,1
TreJago,Cornish,1
Jagowyn,Cornish,1
Jagoawc,Cornish,1
ApRuan,Cornish,1
PenRuan,Cornish,1
TreRuan,Cornish,1
Ruanwyn,Cornish,1
Ruanawc,Cornish,1
ApBudoc,Cornish,1
PenBudoc,Cornish,1
TreBudoc,Cornish,1
Budocwyn,Cornish,1
Budocawc,Cornish,1
ApCynan,Cornish,1
PenCynan,Cornish,1
TreCynan,Cornish,1
Cynanwyn,Cornish,1
Cynanawc,Cornish,1
ApDerwa,Cornish,1
PenDerwa,Cornish,1
TreDerwa,Cornish,1
Derwawyn,Cornish,1
Derwawc,Cornish,1
Rheged,Cumbric,3
Strathclyde,Cumbric,3
Altclut,Cumbric,3
Govan,Cumbric,3
Elmet,Cumbric,3
Gododdin,Cumbric,3
Manau,Cumbric,3
Dineidyn,Cumbric,3
Lleuddiniawn,Cumbric,3
Gwenddoleu,Cumbric,3
Cynfarch,Cumbric,2
Urienid,Cumbric,2
Rhydderchid,Cumbric,2
Dumbarton,Cumbric,2
Ebrauc,Cumbric,2
Cumbrian,Cumbric,2
ApBeli,Cumbric,2
PenBeli,Cumbric,2
TreBeli,Cumbric,2
Beliwyn,Cumbric,2
Beliawc,Cumbric,2
ApBran,Cumbric,2
PenBran,Cumbric,2
TreBran,Cumbric,2
Branwyn,Cumbric,1
Branawc,Cumbric,1
ApHoel,Cumbric,1
PenHoel,Cumbric,1
TreHoel,Cumbric,1
Hoelwyn,Cumbric,1
Hoelawc,Cumbric,1
ApPabo,Cumbric,1
PenPabo,Cumbric,1
TrePabo,Cumbric,1
Pabowyn,Cumbric,1
Paboawc,Cumbric,1
ApRhun,Cumbric,1
PenRhun,Cumbric,1
TreRhun,Cumbric,1
Rhunwyn,Cumbric,1
Rhunawc,Cumbric,1
ApCeneu,Cumbric,1
PenCeneu,Cumbric,1
TreCeneu,Cumbric,1
Ceneuwyn,Cumbric,1
Ceneuawc,Cumbric,1
ApCynon,Cumbric,1
PenCynon,Cumbric,1
Kursis,Curonian,3
Ziemelis,Curonian,3
Pilsats,Curonian,3
Megava,Curonian,3
Bandava,Curonian,3
Duvzare,Curonian,3
Ventava,Curonian,3
Ceklis,Curonian,3
Lamatta,Curonian,3
Durbis,Curonian,3
Embute,Curonian,2
Grobin,Curonian,2
Abava,Curonian,2
Venta,Curonian,2
Miera,Curonian,2
Talsi,Curonian,2
Austasaitis,Curonian,2
Austasunas,Curonian,2
Austasenas,Curonian,2
Austasonis,Curonian,2
Austasiskis,Curonian,2
Dargisaitis,Curonian,2
Dargisunas,Curonian,2
Dargisenas,Curonian,2
Dargisonis,Curonian,1
Dargisiskis,Curonian,1
Gailisaitis,Curonian,1
Gailisunas,Curonian,1
Gailisenas,Curonian,1
Gailisonis,Curonian,1
Gailisiskis,Curonian,1
Jurgisaitis,Curonian,1
Jurgisunas,Curonian,1
Jurgisenas,Curonian,1
Jurgisonis,Curonian,1
Jurgisiskis,Curonian,1
Vaiodaitis,Curonian,1
Vaiodunas,Curonian,1
Vaiodenas,Curonian,1
Vaiodonis,Curonian,1
Vaiodiskis,Curonian,1
Andagisaitis,Curonian,1
Andagisunas,Curonian,1
Andagisenas,Curonian,1
Andagisonis,Curonian,1
Andagisiskis,Curonian,1
Kerniaitis,Curonian,1
Kerniunas,Curonian,1
Densusian,Dacian,3
Sarmizegetusan,Dacian,3
Carpathian,Dacian,3
Burebistan,Dacian,3
Daciscus,Dacian,3
Geticus,Dacian,3
Apulian,Dacian,3
Napocan,Dacian,3
Porolissan,Dacian,3
Costobocian,Dacian,3
Diernan,Dacian,2
Zalmoxian,Dacian,2
Tibiscian,Dacian,2
Moesian,Dacian,2
Alutan,Dacian,2
Sargetian,Dacian,2
Dadasid,Dacian,2
Dadasicus,Dacian,2
Dadasian,Dacian,2
Dadasenus,Dacian,2
Dadasides,Dacian,2
Dapyxid,Dacian,2
Dapyxicus,Dacian,2
Dapyxian,Dacian,2
Dapyxenus,Dacian,1
Dapyxides,Dacian,1
Durasid,Dacian,1
Durasicus,Dacian,1
Durasian,Dacian,1
Durasenus,Dacian,1
Durasides,Dacian,1
Surasid,Dacian,1
Surasicus,Dacian,1
Surasian,Dacian,1
Surasenus,Dacian,1
Surasides,Dacian,1
Tarsaid,Dacian,1
Tarsaicus,Dacian,1
Tarsaian,Dacian,1
Tarsaenus,Dacian,1
Tarsaides,Dacian,1
Cotisoid,Dacian,1
Cotisoicus,Dacian,1
Cotisoian,Dacian,1
Cotisoenus,Dacian,1
Cotisoides,Dacian,1
Orolesid,Dacian,1
Orolesicus,Dacian,1
Tamme,Estonian,3
Saar,Estonian,3
Kask,Estonian,3
Lepik,Estonian,3
Mets,Estonian,3
Kivi,Estonian,3
Laas,Estonian,3
Tammepuu,Estonian,3
Kuusk,Estonian,3
Pold,Estonian,3
Rand,Estonian,2
Toom,Estonian,2
Kallas,Estonian,2
Pihl,Estonian,2
Vaher,Estonian,2
Oja,Estonian,2
Lind,Estonian,2
Ratas,Estonian,2
Ivonen,Estonian,2
Ivola,Estonian,2
Ivomaki,Estonian,2
Ivojarvi,Estonian,2
Ivomo,Estonian,2
Ukunen,Estonian,2
Ukula,Estonian,1
Ukumaki,Estonian,1
Ukujarvi,Estonian,1
Ukumo,Estonian,1
Ahtinen,Estonian,1
Ahtila,Estonian,1
Ahtimaki,Estonian,1
Ahtijarvi,Estonian,1
Ahtimo,Estonian,1
Antsnen,Estonian,1
Antsla,Estonian,1
Antsmaki,Estonian,1
Antsjarvi,Estonian,1
Antsmo,Estonian,1
Ardonen,Estonian,1
Ardola,Estonian,1
Ardomaki,Estonian,1
Ardojarvi,Estonian,1
Ardomo,Estonian,1
Jaanen,Estonian,1
Jaanla,Estonian,1
Jaanmaki,Estonian,1
Jaanjarvi,Estonian,1
Jaanmo,Estonian,1
Spurinna,Etruscan,3
Vibenna,Etruscan,3
Clevsina,Etruscan,3
Tarchna,Etruscan,3
Velcha,Etruscan,3
Caecina,Etruscan,3
Perusna,Etruscan,3
Tarquna,Etruscan,3
Cilnia,Etruscan,3
Clavtie,Etruscan,3
Aulethna,Etruscan,2
Velthina,Etruscan,2
Porsenna,Etruscan,2
Pulena,Etruscan,2
Rasna,Etruscan,2
Lecne,Etruscan,2
Saties,Etruscan,2
Vipina,Etruscan,2
Caena,Etruscan,2
Caenas,Etruscan,2
Caenei,Etruscan,2
Caeicus,Etruscan,2
Caeian,Etruscan,2
Velna,Etruscan,2
Velnas,Etruscan,1
Velnei,Etruscan,1
Velicus,Etruscan,1
Velian,Etruscan,1
Aulena,Etruscan,1
Aulenas,Etruscan,1
Aulenei,Etruscan,1
Auleicus,Etruscan,1
Auleian,Etruscan,1
Vipena,Etruscan,1
Vipenas,Etruscan,1
Vipenei,Etruscan,1
Vipeicus,Etruscan,1
Vipeian,Etruscan,1
Arnthna,Etruscan,1
Arnthnas,Etruscan,1
Arnthnei,Etruscan,1
Arnthicus,Etruscan,1
Arnthian,Etruscan,1
Avilena,Etruscan,1
Avilenas,Etruscan,1
Avilenei,Etruscan,1
Avileicus,Etruscan,1
Avileian,Etruscan,1
Aghizar,Exotic,3
Akreth,Exotic,3
Alzivar,Exotic,3
Ashkad,Exotic,3
Azrakan,Exotic,3
Belthar,Exotic,3
Caldrin,Exotic,3
Drazeth,Exotic,3
Eldovar,Exotic,3
Faelkor,Exotic,3
Ghazrin,Exotic,2
Irkavan,Exotic,2
Jorvath,Exotic,2
Kelmar,Exotic,2
Khezul,Exotic,2
Lorvane,Exotic,2
Morveth,Exotic,2
Narzhal,Exotic,2
Orvash,Exotic,2
Qadriel,Exotic,2
Ravakar,Exotic,2
Serevoth,Exotic,2
Tazren,Exotic,2
Ulkath,Exotic,2
Vandor,Exotic,1
Xaldrin,Exotic,1
Yavrek,Exotic,1
Zorvath,Exotic,1
Arkanesh,Exotic,1
Beldrath,Exotic,1
Cazroth,Exotic,1
Delzarin,Exotic,1
Eshkar,Exotic,1
Faldreth,Exotic,1
Gorvane,Exotic,1
Heskul,Exotic,1
Izhmar,Exotic,1
Jalveth,Exotic,1
Korvash,Exotic,1
Lazrith,Exotic,1
Mordakai,Exotic,1
Nexovar,Exotic,1
Orzhan,Exotic,1
Peldrith,Exotic,1
Qirvane,Exotic,1
Rhazakul,Exotic,1
Sarneth,Exotic,1
Tolvakar,Exotic,1
Uzhadin,Exotic,1
Vashrul,Exotic,1
Wyrdan,Exotic,1
Xorath,Exotic,1
Yezarin,Exotic,1
Zhalvek,Exotic,1
Arnulfing,Frankish,3
Pippinid,Frankish,3
Chlodoving,Frankish,3
Meroving,Frankish,3
Caroling,Frankish,3
Ripuari,Frankish,3
Salian,Frankish,3
Toxandrian,Frankish,3
Austrasian,Frankish,3
Neustrian,Frankish,3
Bructer,Frankish,2
Chattuari,Frankish,2
Chamavi,Frankish,2
Sicambri,Frankish,2
Bautoing,Frankish,2
Warining,Frankish,2
Hugoberting,Frankish,2
Etichonid,Frankish,2
Warinmann,Frankish,2
Warinwald,Frankish,2
Warinhart,Frankish,2
Warinbert,Frankish,2
Aldricing,Frankish,2
Aldricmann,Frankish,2
Aldricwald,Frankish,1
Aldrichart,Frankish,1
Aldricbert,Frankish,1
Arnulfmann,Frankish,1
Arnulfwald,Frankish,1
Arnulfhart,Frankish,1
Arnulfbert,Frankish,1
Audoining,Frankish,1
Audoinmann,Frankish,1
Audoinwald,Frankish,1
Audoinhart,Frankish,1
Audoinbert,Frankish,1
Ebroining,Frankish,1
Ebroinmann,Frankish,1
Ebroinwald,Frankish,1
Ebroinhart,Frankish,1
Ebroinbert,Frankish,1
Lotharing,Frankish,1
Lotharmann,Frankish,1
Lotharwald,Frankish,1
Lotharhart,Frankish,1
Lotharbert,Frankish,1
Pippining,Frankish,1
Pippinmann,Frankish,1
Fernandes,Galician-Portuguese,3
Goncalves,Galician-Portuguese,3
Eanes,Galician-Portuguese,3
Pais,Galician-Portuguese,3
Peres,Galician-Portuguese,3
Soares,Galician-Portuguese,3
Mendes,Galician-Portuguese,3
Nunes,Galician-Portuguese,3
Coelho,Galician-Portuguese,3
Pereira,Galician-Portuguese,3
Afonso,Galician-Portuguese,2
Rodrigues,Galician-Portuguese,2
Vasques,Galician-Portuguese,2
Lourenco,Galician-Portuguese,2
Froilaz,Galician-Portuguese,2
Bermudez,Galician-Portuguese,2
Moniz,Galician-Portuguese,2
Guedes,Galician-Portuguese,2
Memez,Galician-Portuguese,2
Memes,Galician-Portuguese,2
Memiz,Galician-Portuguese,2
Memano,Galician-Portuguese,2
Memeiro,Galician-Portuguese,2
Anesez,Galician-Portuguese,2
Aneses,Galician-Portuguese,1
Anesiz,Galician-Portuguese,1
Anesano,Galician-Portuguese,1
Aneseiro,Galician-Portuguese,1
Egasez,Galician-Portuguese,1
Egases,Galician-Portuguese,1
Egasiz,Galician-Portuguese,1
Egasano,Galician-Portuguese,1
Egaseiro,Galician-Portuguese,1
Joaoez,Galician-Portuguese,1
Joaoes,Galician-Portuguese,1
Joaoiz,Galician-Portuguese,1
Joaoano,Galician-Portuguese,1
Joaoeiro,Galician-Portuguese,1
Lopoez,Galician-Portuguese,1
Lopoes,Galician-Portuguese,1
Lopoiz,Galician-Portuguese,1
Lopoano,Galician-Portuguese,1
Lopoeiro,Galician-Portuguese,1
Nunoez,Galician-Portuguese,1
Nunoes,Galician-Portuguese,1
Nunoiz,Galician-Portuguese,1
Nunoano,Galician-Portuguese,1
Nunoeiro,Galician-Portuguese,1
Arvern,Gaulish,3
Aedui,Gaulish,3
Sequani,Gaulish,3
Carnute,Gaulish,3
Senon,Gaulish,3
Biturige,Gaulish,3
Trever,Gaulish,3
Nervian,Gaulish,3
Helvetian,Gaulish,3
Remian,Gaulish,3
Lemovice,Gaulish,2
Cadurcan,Gaulish,2
Picton,Gaulish,2
Petrocorian,Gaulish,2
Santone,Gaulish,2
Allobrog,Gaulish,2
Bellovac,Gaulish,2
Meldian,Gaulish,2
Brennacos,Gaulish,2
Brennrix,Gaulish,2
Brennmaros,Gaulish,2
Brenngnatos,Gaulish,2
Brenndunon,Gaulish,2
Caturixacos,Gaulish,2
Caturixrix,Gaulish,1
Caturixmaros,Gaulish,1
Caturixgnatos,Gaulish,1
Caturixdunon,Gaulish,1
Commiacos,Gaulish,1
Commirix,Gaulish,1
Commimaros,Gaulish,1
Commignatos,Gaulish,1
Commidunon,Gaulish,1
Ambiorixacos,Gaulish,1
Ambiorixrix,Gaulish,1
Ambiorixmaros,Gaulish,1
Ambiorixgnatos,Gaulish,1
Ambiorixdunon,Gaulish,1
Casticacos,Gaulish,1
Casticrix,Gaulish,1
Casticmaros,Gaulish,1
Casticgnatos,Gaulish,1
Casticdunon,Gaulish,1
Dumnorixacos,Gaulish,1
Dumnorixrix,Gaulish,1
Dumnorixmaros,Gaulish,1
Dumnorixgnatos,Gaulish,1
Dumnorixdunon,Gaulish,1
Amal,Gothic,3
Balth,Gothic,3
Greuthung,Gothic,3
Terving,Gothic,3
Theodoring,Gothic,3
Alaricing,Gothic,3
Athanaricing,Gothic,3
Wulfing,Gothic,3
