name,gender,ethnic,name_part,rate
Walahfrid,Male,Alemannic,0,1
Werner,Male,Alemannic,0,1
Aganippe,Female,Ancient Greek,0,3
Aikaterine,Female,Ancient Greek,0,3
Alkestis,Female,Ancient Greek,0,3
Anaxandra,Female,Ancient Greek,0,3
Arete,Female,Ancient Greek,0,3
Aspasia,Female,Ancient Greek,0,2
Berenike,Female,Ancient Greek,0,2
Chloe,Female,Ancient Greek,0,2
Damarete,Female,Ancient Greek,0,2
Demetria,Female,Ancient Greek,0,2
Diotima,Female,Ancient Greek,0,2
Eirene,Female,Ancient Greek,0,2
Eukoline,Female,Ancient Greek,0,2
Eupraxia,Female,Ancient Greek,0,2
Eurydike,Female,Ancient Greek,0,2
Gorgo,Female,Ancient Greek,0,1
Helene,Female,Ancient Greek,0,1
Hypatia,Female,Ancient Greek,0,1
Ianthe,Female,Ancient Greek,0,1
Kallisto,Female,Ancient Greek,0,1
Kleio,Female,Ancient Greek,0,1
Kleopatra,Female,Ancient Greek,0,1
Korinna,Female,Ancient Greek,0,1
Lais,Female,Ancient Greek,0,1
Lysandra,Female,Ancient Greek,0,1
Medeia,Female,Ancient Greek,0,1
Melitta,Female,Ancient Greek,0,1
Myrrhine,Female,Ancient Greek,0,1
Nikaia,Female,Ancient Greek,0,1
Olympias,Female,Ancient Greek,0,1
Phile,Female,Ancient Greek,0,1
Philippa,Female,Ancient Greek,0,1
Rhodopis,Female,Ancient Greek,0,1
Sappho,Female,Ancient Greek,0,1
Theano,Female,Ancient Greek,0,1
Xanthippe,Female,Ancient Greek,0,1
Achilleus,Male,Ancient Greek,0,3
Admetos,Male,Ancient Greek,0,3
Agesilaos,Male,Ancient Greek,0,3
Alexandros,Male,Ancient Greek,0,3
Alkibiades,Male,Ancient Greek,0,3
Anaxandros,Male,Ancient Greek,0,2
Andronikos,Male,Ancient Greek,0,2
Apollodoros,Male,Ancient Greek,0,2
Aristarchos,Male,Ancient Greek,0,2
Aristides,Male,Ancient Greek,0,2
Aristokles,Male,Ancient Greek,0,2
Bion,Male,Ancient Greek,0,2
Chariton,Male,Ancient Greek,0,2
Damon,Male,Ancient Greek,0,2
Demetrios,Male,Ancient Greek,0,2
Dionysios,Male,Ancient Greek,0,1
Euboulos,Male,Ancient Greek,0,1
Eukleides,Male,Ancient Greek,0,1
Euphranor,Male,Ancient Greek,0,1
Herakleides,Male,Ancient Greek,0,1
Hippokrates,Male,Ancient Greek,0,1
Kallias,Male,Ancient Greek,0,1
Kleon,Male,Ancient Greek,0,1
Leonidas,Male,Ancient Greek,0,1
Lysandros,Male,Ancient Greek,0,1
Menandros,Male,Ancient Greek,0,1
Nikandros,Male,Ancient Greek,0,1
Philokles,Male,Ancient Greek,0,1
Philostratos,Male,Ancient Greek,0,1
Sokrates,Male,Ancient Greek,0,1
Sophokles,Male,Ancient Greek,0,1
Themistokles,Male,Ancient Greek,0,1
Theodoros,Male,Ancient Greek,0,1
Timokrates,Male,Ancient Greek,0,1
Xenophon,Male,Ancient Greek,0,1
Adeliza,Female,Anglo-Norman,0,3
Agnes,Female,Anglo-Norman,0,3
Aline,Female,Anglo-Norman,0,3
Amabel,Female,Anglo-Norman,0,3
Amicia,Female,Anglo-Norman,0,3
Beatrice,Female,Anglo-Norman,0,2
Cecily,Female,Anglo-Norman,0,2
Constance,Female,Anglo-Norman,0,2
Eleanor,Female,Anglo-Norman,0,2
Emma,Female,Anglo-Norman,0,2
Emmeline,Female,Anglo-Norman,0,2
Euphemia,Female,Anglo-Norman,0,2
Felicia,Female,Anglo-Norman,0,2
Goda,Female,Anglo-Norman,0,2
Hawise,Female,Anglo-Norman,0,2
Ida,Female,Anglo-Norman,0,1
Isabel,Female,Anglo-Norman,0,1
Joan,Female,Anglo-Norman,0,1
Juliana,Female,Anglo-Norman,0,1
Lettice,Female,Anglo-Norman,0,1
Mabel,Female,Anglo-Norman,0,1
Margaret,Female,Anglo-Norman,0,1
Maud,Female,Anglo-Norman,0,1
Melisende,Female,Anglo-Norman,0,1
Muriel,Female,Anglo-Norman,0,1
Petronilla,Female,Anglo-Norman,0,1
Philippa,Female,Anglo-Norman,0,1
Richenda,Female,Anglo-Norman,0,1
Rohese,Female,Anglo-Norman,0,1
Sibyl,Female,Anglo-Norman,0,1
Sybil,Female,Anglo-Norman,0,1
Theophania,Female,Anglo-Norman,0,1
Yolande,Female,Anglo-Norman,0,1
Adam,Male,Anglo-Norman,0,3
Alan,Male,Anglo-Norman,0,3
Amaury,Male,Anglo-Norman,0,3
Anselm,Male,Anglo-Norman,0,3
Arnold,Male,Anglo-Norman,0,3
Baldwin,Male,Anglo-Norman,0,2
Bertram,Male,Anglo-Norman,0,2
Brian,Male,Anglo-Norman,0,2
Eustace,Male,Anglo-Norman,0,2
Fulk,Male,Anglo-Norman,0,2
Geoffrey,Male,Anglo-Norman,0,2
Gerard,Male,Anglo-Norman,0,2
Gilbert,Male,Anglo-Norman,0,2
Giles,Male,Anglo-Norman,0,2
Guy,Male,Anglo-Norman,0,2
Hamelin,Male,Anglo-Norman,0,1
Henry,Male,Anglo-Norman,0,1
Hugh,Male,Anglo-Norman,0,1
Ivo,Male,Anglo-Norman,0,1
Jordan,Male,Anglo-Norman,0,1
Miles,Male,Anglo-Norman,0,1
Nicholas,Male,Anglo-Norman,0,1
Odo,Male,Anglo-Norman,0,1
Osbert,Male,Anglo-Norman,0,1
Peter,Male,Anglo-Norman,0,1
Ralph,Male,Anglo-Norman,0,1
Ranulf,Male,Anglo-Norman,0,1
Reginald,Male,Anglo-Norman,0,1
Richard,Male,Anglo-Norman,0,1
Robert,Male,Anglo-Norman,0,1
Roger,Male,Anglo-Norman,0,1
Simon,Male,Anglo-Norman,0,1
Stephen,Male,Anglo-Norman,0,1
Theobald,Male,Anglo-Norman,0,1
Walter,Male,Anglo-Norman,0,1
William,Male,Anglo-Norman,0,1
Andere,Female,Aquitanian/Vasconic,0,3
Andereseni,Female,Aquitanian/Vasconic,0,3
Andosine,Female,Aquitanian/Vasconic,0,3
Astoilune,Female,Aquitanian/Vasconic,0,3
Belexa,Female,Aquitanian/Vasconic,0,3
Bihoxsa,Female,Aquitanian/Vasconic,0,2
Bonnoxea,Female,Aquitanian/Vasconic,0,2
Cisonia,Female,Aquitanian/Vasconic,0,2
Harbelexa,Female,Aquitanian/Vasconic,0,2
Harsoria,Female,Aquitanian/Vasconic,0,2
Ilunna,Female,Aquitanian/Vasconic,0,2
Laurina,Female,Aquitanian/Vasconic,0,2
Lohittuna,Female,Aquitanian/Vasconic,0,2
Narbona,Female,Aquitanian/Vasconic,0,2
Nescata,Female,Aquitanian/Vasconic,0,2
Ossone,Female,Aquitanian/Vasconic,0,1
Saharina,Female,Aquitanian/Vasconic,0,1
Sembe,Female,Aquitanian/Vasconic,0,1
Sembexia,Female,Aquitanian/Vasconic,0,1
Silexa,Female,Aquitanian/Vasconic,0,1
Talsca,Female,Aquitanian/Vasconic,0,1
Ummesaharra,Female,Aquitanian/Vasconic,0,1
Vaconia,Female,Aquitanian/Vasconic,0,1
Veleia,Female,Aquitanian/Vasconic,0,1
Aherbelste,Male,Aquitanian/Vasconic,0,3
Andere,Male,Aquitanian/Vasconic,0,3
Anderepon,Male,Aquitanian/Vasconic,0,3
Andereson,Male,Aquitanian/Vasconic,0,3
Andosten,Male,Aquitanian/Vasconic,0,3
Arcco,Male,Aquitanian/Vasconic,0,2
Astoilun,Male,Aquitanian/Vasconic,0,2
Baeserte,Male,Aquitanian/Vasconic,0,2
Belex,Male,Aquitanian/Vasconic,0,2
Bihoxus,Male,Aquitanian/Vasconic,0,2
Bonbelex,Male,Aquitanian/Vasconic,0,2
Cison,Male,Aquitanian/Vasconic,0,2
Dunohox,Male,Aquitanian/Vasconic,0,2
Harbelex,Male,Aquitanian/Vasconic,0,2
Harsori,Male,Aquitanian/Vasconic,0,2
Ilunno,Male,Aquitanian/Vasconic,0,1
Lohitton,Male,Aquitanian/Vasconic,0,1
Lurco,Male,Aquitanian/Vasconic,0,1
Narhun,Male,Aquitanian/Vasconic,0,1
Nescato,Male,Aquitanian/Vasconic,0,1
Osson,Male,Aquitanian/Vasconic,0,1
Sembetten,Male,Aquitanian/Vasconic,0,1
Seniponnis,Male,Aquitanian/Vasconic,0,1
Talsco,Male,Aquitanian/Vasconic,0,1
Ummesahar,Male,Aquitanian/Vasconic,0,1
Ainara,Female,Basque,0,3
Ainhoa,Female,Basque,0,3
Alazne,Female,Basque,0,3
Amaia,Female,Basque,0,3
Andere,Female,Basque,0,3
Ane,Female,Basque,0,2
Arantza,Female,Basque,0,2
Argia,Female,Basque,0,2
Bakarne,Female,Basque,0,2
Edurne,Female,Basque,0,2
Elixabete,Female,Basque,0,2
Eneritz,Female,Basque,0,2
Garazi,Female,Basque,0,2
Gurutze,Female,Basque,0,2
Haizea,Female,Basque,0,2
Irati,Female,Basque,0,1
Itxaro,Female,Basque,0,1
Izaskun,Female,Basque,0,1
Lorea,Female,Basque,0,1
Maddi,Female,Basque,0,1
Maite,Female,Basque,0,1
Naiara,Female,Basque,0,1
Nekane,Female,Basque,0,1
Oihana,Female,Basque,0,1
Uxue,Female,Basque,0,1
Zuri,Female,Basque,0,1
Aitor,Male,Basque,0,3
Ander,Male,Basque,0,3
Antso,Male,Basque,0,3
Argi,Male,Basque,0,3
Beltz,Male,Basque,0,3
Eder,Male,Basque,0,2
Eneko,Male,Basque,0,2
Errodrigo,Male,Basque,0,2
Gartzia,Male,Basque,0,2
Gorka,Male,Basque,0,2
Hodei,Male,Basque,0,2
Ibai,Male,Basque,0,2
Iker,Male,Basque,0,2
Ilario,Male,Basque,0,2
Inigo,Male,Basque,0,2
Joanes,Male,Basque,0,1
Kemen,Male,Basque,0,1
Lope,Male,Basque,0,1
Mikel,Male,Basque,0,1
Oier,Male,Basque,0,1
Ortzi,Male,Basque,0,1
Patxi,Male,Basque,0,1
Peru,Male,Basque,0,1
Sancho,Male,Basque,0,1
Unai,Male,Basque,0,1
Xabier,Male,Basque,0,1
Adelheid,Female,Bavarian,0,3
Agnes,Female,Bavarian,0,3
Bertha,Female,Bavarian,0,3
Brunhild,Female,Bavarian,0,3
Christina,Female,Bavarian,0,3
Dietlind,Female,Bavarian,0,2
Elisabeth,Female,Bavarian,0,2
Engelberga,Female,Bavarian,0,2
Ermengard,Female,Bavarian,0,2
Gertrud,Female,Bavarian,0,2
Gisela,Female,Bavarian,0,2
Hadwig,Female,Bavarian,0,2
Hedwig,Female,Bavarian,0,2
Heilika,Female,Bavarian,0,2
Hemma,Female,Bavarian,0,2
Hildegard,Female,Bavarian,0,1
Kunigunde,Female,Bavarian,0,1
Liutgard,Female,Bavarian,0,1
Margaretha,Female,Bavarian,0,1
Mathilde,Female,Bavarian,0,1
Mechthild,Female,Bavarian,0,1
Oda,Female,Bavarian,0,1
Richgard,Female,Bavarian,0,1
Sophia,Female,Bavarian,0,1
Theodelinde,Female,Bavarian,0,1
Uta,Female,Bavarian,0,1
Walburga,Female,Bavarian,0,1
Adalbero,Male,Bavarian,0,3
Albrecht,Male,Bavarian,0,3
Anselm,Male,Bavarian,0,3
Arnold,Male,Bavarian,0,3
Berengar,Male,Bavarian,0,3
Bertold,Male,Bavarian,0,2
Burkhard,Male,Bavarian,0,2
Dietmar,Male,Bavarian,0,2
Eberhard,Male,Bavarian,0,2
Engelbert,Male,Bavarian,0,2
Ernst,Male,Bavarian,0,2
Friedrich,Male,Bavarian,0,2
Gebhard,Male,Bavarian,0,2
Gerhard,Male,Bavarian,0,2
Gottfried,Male,Bavarian,0,2
Heinrich,Male,Bavarian,0,1
Hermann,Male,Bavarian,0,1
Konrad,Male,Bavarian,0,1
Leopold,Male,Bavarian,0,1
Ludwig,Male,Bavarian,0,1
Manfred,Male,Bavarian,0,1
Otakar,Male,Bavarian,0,1
Otto,Male,Bavarian,0,1
Pabo,Male,Bavarian,0,1
Rudiger,Male,Bavarian,0,1
Rupert,Male,Bavarian,0,1
Siegfried,Male,Bavarian,0,1
Ulrich,Male,Bavarian,0,1
Welf,Male,Bavarian,0,1
Werner,Male,Bavarian,0,1
Adalhaid,Female,Burgundian,0,3
Brunhild,Female,Burgundian,0,3
Clotild,Female,Burgundian,0,3
Galswinth,Female,Burgundian,0,3
Gisela,Female,Burgundian,0,3
Gundrada,Female,Burgundian,0,2
Hildegund,Female,Burgundian,0,2
Ingund,Female,Burgundian,0,2
Leubovera,Female,Burgundian,0,2
Radegund,Female,Burgundian,0,2
Reginlind,Female,Burgundian,0,2
Richild,Female,Burgundian,0,2
Sigilda,Female,Burgundian,0,2
Theudelinda,Female,Burgundian,0,2
Waldrada,Female,Burgundian,0,2
Wisigard,Female,Burgundian,0,1
Agiulf,Male,Burgundian,0,3
Albomar,Male,Burgundian,0,3
Athanagild,Male,Burgundian,0,3
Baldegisel,Male,Burgundian,0,3
Burgundio,Male,Burgundian,0,3
Chilperic,Male,Burgundian,0,2
Clothar,Male,Burgundian,0,2
Dagobert,Male,Burgundian,0,2
Gibica,Male,Burgundian,0,2
Giselher,Male,Burgundian,0,2
Godomar,Male,Burgundian,0,2
Gondioc,Male,Burgundian,0,2
Gundahar,Male,Burgundian,0,2
Gundobad,Male,Burgundian,0,2
Gundomar,Male,Burgundian,0,2
Hildebad,Male,Burgundian,0,1
Hlodomer,Male,Burgundian,0,1
Ragnachar,Male,Burgundian,0,1
Ricimer,Male,Burgundian,0,1
Sigibert,Male,Burgundian,0,1
Sigismund,Male,Burgundian,0,1
Theudebald,Male,Burgundian,0,1
Waldemar,Male,Burgundian,0,1
Warnachar,Male,Burgundian,0,1
Ambata,Female,Celtiberian,0,3
Argantia,Female,Celtiberian,0,3
Belaisa,Female,Celtiberian,0,3
Belena,Female,Celtiberian,0,3
Boudica,Female,Celtiberian,0,3
Carantia,Female,Celtiberian,0,2
Catura,Female,Celtiberian,0,2
Derceta,Female,Celtiberian,0,2
Elantia,Female,Celtiberian,0,2
Letonda,Female,Celtiberian,0,2
Lugara,Female,Celtiberian,0,2
Melmanda,Female,Celtiberian,0,2
Nertobriga,Female,Celtiberian,0,2
Segontia,Female,Celtiberian,0,2
Taurina,Female,Celtiberian,0,2
Toutona,Female,Celtiberian,0,1
Turia,Female,Celtiberian,0,1
Uxamena,Female,Celtiberian,0,1
Virota,Female,Celtiberian,0,1
Ablonios,Male,Celtiberian,0,3
Ambatus,Male,Celtiberian,0,3
Argantios,Male,Celtiberian,0,3
Aucalus,Male,Celtiberian,0,3
Belaiskos,Male,Celtiberian,0,3
Belenos,Male,Celtiberian,0,2
Boduogenos,Male,Celtiberian,0,2
Caisaros,Male,Celtiberian,0,2
Carantus,Male,Celtiberian,0,2
Caros,Male,Celtiberian,0,2
Caturix,Male,Celtiberian,0,2
Conboutos,Male,Celtiberian,0,2
Contrebios,Male,Celtiberian,0,2
Letondos,Male,Celtiberian,0,2
Lugotorix,Male,Celtiberian,0,2
Melmandos,Male,Celtiberian,0,1
Nertobriga,Male,Celtiberian,0,1
Segontios,Male,Celtiberian,0,1
Toutonos,Male,Celtiberian,0,1
Turobrigos,Male,Celtiberian,0,1
Uxama,Male,Celtiberian,0,1
Virotus,Male,Celtiberian,0,1
Adboga,Female,Cisalpine Celtic,0,3
Atepomara,Female,Cisalpine Celtic,0,3
Belena,Female,Cisalpine Celtic,0,3
Boudica,Female,Cisalpine Celtic,0,3
Camulata,Female,Cisalpine Celtic,0,3
Carantia,Female,Cisalpine Celtic,0,2
Cingeta,Female,Cisalpine Celtic,0,2
Dumnaca,Female,Cisalpine Celtic,0,2
Epona,Female,Cisalpine Celtic,0,2
Litavica,Female,Cisalpine Celtic,0,2
Lugara,Female,Cisalpine Celtic,0,2
Nantosuelta,Female,Cisalpine Celtic,0,2
Onomaris,Female,Cisalpine Celtic,0,2
Rigantona,Female,Cisalpine Celtic,0,2
Segomara,Female,Cisalpine Celtic,0,2
Touta,Female,Cisalpine Celtic,0,1
Verica,Female,Cisalpine Celtic,0,1
Viridomara,Female,Cisalpine Celtic,0,1
Adbogios,Male,Cisalpine Celtic,0,3
Agnomaros,Male,Cisalpine Celtic,0,3
Atepomaros,Male,Cisalpine Celtic,0,3
Belenos,Male,Cisalpine Celtic,0,3
Boduognatos,Male,Cisalpine Celtic,0,3
Brennos,Male,Cisalpine Celtic,0,2
Cavaros,Male,Cisalpine Celtic,0,2
Cingetorix,Male,Cisalpine Celtic,0,2
Comaros,Male,Cisalpine Celtic,0,2
Dumnacos,Male,Cisalpine Celtic,0,2
Eposognatos,Male,Cisalpine Celtic,0,2
Litavicos,Male,Cisalpine Celtic,0,2
Lugotorix,Male,Cisalpine Celtic,0,2
Nantos,Male,Cisalpine Celtic,0,2
Orgetorix,Male,Cisalpine Celtic,0,2
Segomaros,Male,Cisalpine Celtic,0,1
Toutatis,Male,Cisalpine Celtic,0,1
Vercassivellaunos,Male,Cisalpine Celtic,0,1
Vercingetorix,Male,Cisalpine Celtic,0,1
Viridomaros,Male,Cisalpine Celtic,0,1
Adwen,Female,Cornish,0,3
Ailla,Female,Cornish,0,3
Argant,Female,Cornish,0,3
Breaca,Female,Cornish,0,3
Clethera,Female,Cornish,0,3
Delen,Female,Cornish,0,2
Elen,Female,Cornish,0,2
Endelienta,Female,Cornish,0,2
Eseld,Female,Cornish,0,2
Gwen,Female,Cornish,0,2
Gwenifer,Female,Cornish,0,2
Gwinear,Female,Cornish,0,2
Ia,Female,Cornish,0,2
Jenifer,Female,Cornish,0,2
Kensa,Female,Cornish,0,2
Lowenna,Female,Cornish,0,1
Mabyn,Female,Cornish,0,1
Melyor,Female,Cornish,0,1
Morcades,Female,Cornish,0,1
Morwenna,Female,Cornish,0,1
Nonna,Female,Cornish,0,1
Tressa,Female,Cornish,0,1
Wenna,Female,Cornish,0,1
Wennaeth,Female,Cornish,0,1
Ysella,Female,Cornish,0,1
Austol,Male,Cornish,0,3
Bleydh,Male,Cornish,0,3
Budoc,Male,Cornish,0,3
Caradoc,Male,Cornish,0,3
Cleder,Male,Cornish,0,3
Clemens,Male,Cornish,0,2
Cynan,Male,Cornish,0,2
Derwa,Male,Cornish,0,2
Donyarth,Male,Cornish,0,2
Geraint,Male,Cornish,0,2
Goronwy,Male,Cornish,0,2
Gryffyn,Male,Cornish,0,2
Hedrek,Male,Cornish,0,2
Iago,Male,Cornish,0,2
Jago,Male,Cornish,0,2
Jowan,Male,Cornish,0,1
Kenan,Male,Cornish,0,1
Kevern,Male,Cornish,0,1
Madern,Male,Cornish,0,1
Madron,Male,Cornish,0,1
Mawgan,Male,Cornish,0,1
Meriasek,Male,Cornish,0,1
Morien,Male,Cornish,0,1
Petroc,Male,Cornish,0,1
Piran,Male,Cornish,0,1
Ruan,Male,Cornish,0,1
Talan,Male,Cornish,0,1
Tewdwr,Male,Cornish,0,1
Uther,Male,Cornish,0,1
Wynnoc,Male,Cornish,0,1
Arianell,Female,Cumbric,0,3
Brigida,Female,Cumbric,0,3
Ceindrych,Female,Cumbric,0,3
Dwynwen,Female,Cumbric,0,3
Elen,Female,Cumbric,0,3
Eleri,Female,Cumbric,0,2
Enid,Female,Cumbric,0,2
Goleuddydd,Female,Cumbric,0,2
Gwen,Female,Cumbric,0,2
Gwenllian,Female,Cumbric,0,2
Luned,Female,Cumbric,0,2
Madrun,Female,Cumbric,0,2
Modron,Female,Cumbric,0,2
Morfydd,Female,Cumbric,0,2
Nesta,Female,Cumbric,0,2
Onnen,Female,Cumbric,0,1
Rhiannon,Female,Cumbric,0,1
Tegwen,Female,Cumbric,0,1
Teleri,Female,Cumbric,0,1
Ygerna,Female,Cumbric,0,1
Arthmail,Male,Cumbric,0,3
Beli,Male,Cumbric,0,3
Bran,Male,Cumbric,0,3
Cadwallon,Male,Cumbric,0,3
Ceneu,Male,Cumbric,0,3
Cynfarch,Male,Cumbric,0,2
Cynon,Male,Cumbric,0,2
Dumnagual,Male,Cumbric,0,2
Dunaut,Male,Cumbric,0,2
Edern,Male,Cumbric,0,2
Elidyr,Male,Cumbric,0,2
Gwallawg,Male,Cumbric,0,2
Gwenddoleu,Male,Cumbric,0,2
Hoel,Male,Cumbric,0,2
Llywarch,Male,Cumbric,0,2
Madog,Male,Cumbric,0,1
Meirchion,Male,Cumbric,0,1
Morcant,Male,Cumbric,0,1
Owain,Male,Cumbric,0,1
Pabo,Male,Cumbric,0,1
Peredur,Male,Cumbric,0,1
Rhun,Male,Cumbric,0,1
Rhydderch,Male,Cumbric,0,1
Urien,Male,Cumbric,0,1
Alda,Female,Curonian,0,3
Austeja,Female,Curonian,0,3
Birute,Female,Curonian,0,3
Daina,Female,Curonian,0,3
Dargute,Female,Curonian,0,3
Gaila,Female,Curonian,0,2
Giedre,Female,Curonian,0,2
Gintare,Female,Curonian,0,2
Jurga,Female,Curonian,0,2
Laima,Female,Curonian,0,2
Laimute,Female,Curonian,0,2
Milda,Female,Curonian,0,2
Neringa,Female,Curonian,0,2
Rasa,Female,Curonian,0,2
Rimante,Female,Curonian,0,2
Saule,Female,Curonian,0,1
Skaidra,Female,Curonian,0,1
Vaidile,Female,Curonian,0,1
Vaidute,Female,Curonian,0,1
Viltaute,Female,Curonian,0,1
Zemyna,Female,Curonian,0,1
Algimants,Male,Curonian,0,3
Andagis,Male,Curonian,0,3
Austas,Male,Curonian,0,3
Buteikis,Male,Curonian,0,3
Butvydas,Male,Curonian,0,3
Dargis,Male,Curonian,0,2
Daukantas,Male,Curonian,0,2
Gailis,Male,Curonian,0,2
Gedimants,Male,Curonian,0,2
Gintaras,Male,Curonian,0,2
Jurgis,Male,Curonian,0,2
Kantautas,Male,Curonian,0,2
Kernius,Male,Curonian,0,2
Kestutis,Male,Curonian,0,2
Laimonis,Male,Curonian,0,2
Mangirdas,Male,Curonian,0,1
Mindaugas,Male,Curonian,0,1
Narimantas,Male,Curonian,0,1
Rimantas,Male,Curonian,0,1
Skirgaila,Male,Curonian,0,1
Tautvilas,Male,Curonian,0,1
Vaidotas,Male,Curonian,0,1
Vaiode,Male,Curonian,0,1
Vidmantas,Male,Curonian,0,1
Vytautas,Male,Curonian,0,1
Ziemelis,Male,Curonian,0,1
Aulia,Female,Dacian,0,3
Bistia,Female,Dacian,0,3
Cotisona,Female,Dacian,0,3
Daciana,Female,Dacian,0,3
Dapyxa,Female,Dacian,0,3
Dierna,Female,Dacian,0,2
Dizala,Female,Dacian,0,2
Mucapora,Female,Dacian,0,2
Orolia,Female,Dacian,0,2
Rholia,Female,Dacian,0,2
Sarmiza,Female,Dacian,0,2
Scorila,Female,Dacian,0,2
Tarsa,Female,Dacian,0,2
Zalmodegia,Female,Dacian,0,2
Ziaela,Female,Dacian,0,2
Auluporis,Male,Dacian,0,3
Bastiza,Male,Dacian,0,3
Blegissa,Male,Dacian,0,3
Burebista,Male,Dacian,0,3
Cothelas,Male,Dacian,0,3
Cotiso,Male,Dacian,0,2
Dadas,Male,Dacian,0,2
Dapyx,Male,Dacian,0,2
Diernais,Male,Dacian,0,2
Diurpaneus,Male,Dacian,0,2
Dromichaites,Male,Dacian,0,2
Duras,Male,Dacian,0,2
Mucapor,Male,Dacian,0,2
Oroles,Male,Dacian,0,2
Pieporus,Male,Dacian,0,2
Rholes,Male,Dacian,0,1
Rubobostes,Male,Dacian,0,1
Scorilo,Male,Dacian,0,1
Suras,Male,Dacian,0,1
Tarbus,Male,Dacian,0,1
Tarsa,Male,Dacian,0,1
Zalmodegikos,Male,Dacian,0,1
Ziaelas,Male,Dacian,0,1
Zoltes,Male,Dacian,0,1
Aino,Female,Estonian,0,3
Anu,Female,Estonian,0,3
Eha,Female,Estonian,0,3
Ene,Female,Estonian,0,3
Helgi,Female,Estonian,0,3
Helmi,Female,Estonian,0,2
Ilme,Female,Estonian,0,2
Kadi,Female,Estonian,0,2
Kaja,Female,Estonian,0,2
Karin,Female,Estonian,0,2
Katrin,Female,Estonian,0,2
Kersti,Female,Estonian,0,2
Lea,Female,Estonian,0,2
Liis,Female,Estonian,0,2
Maarja,Female,Estonian,0,2
Mai,Female,Estonian,0,1
Maie,Female,Estonian,0,1
Malle,Female,Estonian,0,1
Merike,Female,Estonian,0,1
Pille,Female,Estonian,0,1
Reet,Female,Estonian,0,1
Riin,Female,Estonian,0,1
Saima,Female,Estonian,0,1
Tiina,Female,Estonian,0,1
Triin,Female,Estonian,0,1
Valve,Female,Estonian,0,1
Ahti,Male,Estonian,0,3
Andres,Male,Estonian,0,3
Ants,Male,Estonian,0,3
Ardo,Male,Estonian,0,3
Eerik,Male,Estonian,0,3
Endel,Male,Estonian,0,2
Hanno,Male,Estonian,0,2
Heiki,Male,Estonian,0,2
Ilmar,Male,Estonian,0,2
Ivo,Male,Estonian,0,2
Jaan,Male,Estonian,0,2
Juhan,Male,Estonian,0,2
Kalev,Male,Estonian,0,2
Kalju,Male,Estonian,0,2
Lembit,Male,Estonian,0,2
Madis,Male,Estonian,0,1
Meelis,Male,Estonian,0,1
Mihkel,Male,Estonian,0,1
Olav,Male,Estonian,0,1
Peeter,Male,Estonian,0,1
Priit,Male,Estonian,0,1
Rein,Male,Estonian,0,1
Siim,Male,Estonian,0,1
Taavi,Male,Estonian,0,1
Toomas,Male,Estonian,0,1
Uku,Male,Estonian,0,1
