innovation_id,source_id,source_link,source_title,analogue_name,category,domain,era_id,history_year,history_year_from,history_year_to,rank,spreadability,complexity,starter_prevalence,prerequisite_ids,curation_status,notes
long_distance_trade,invsrc_0013,Timeline of historic inventions.wiki:34,Long-distance trade,seasonal exchange routes,administration,accounting,paleolithic,-317974,-317974,-317974,1,0.58,0.5,0.18,language,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
schoningen_spears,invsrc_0012,Timeline of historic inventions.wiki:33,Schöningen spears,balanced thrusting spears,military,warfare,paleolithic,-316474,-334974,-297974,1,0.29,0.46,0.3,stone_tool;woodworking,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
food_storage,invsrc_0009,Timeline of historic inventions.wiki:30,Food storage,Food storage,domestic,household,paleolithic,-307974,-417974,-197974,1,0.68,0.2,0.66,control_of_fire_and_cooking,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
hafting_and_early_stone_tipped_projectile_weapons,invsrc_0014,Timeline of historic inventions.wiki:38,Hafting and early stone-tipped projectile weapons,stone-tipped projectiles,military,warfare,paleolithic,-276974,-276974,-276974,1,0.29,0.46,0.28,hafting;schoningen_spears,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
adhesive,invsrc_0015,Timeline of historic inventions.wiki:39,Adhesive,pitch and resin glues,craft,craft,paleolithic,-197974,-197974,-197974,1,0.52,0.36,0.55,control_of_fire_and_cooking,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
beds,invsrc_0016,Timeline of historic inventions.wiki:40,Beds,raised sleeping platforms,domestic,household,paleolithic,-197974,-197974,-197974,1,0.68,0.2,0.74,hide_and_leather_clothing_footwear_and_shelter,reviewed,curated third pass: row-level analogue/category/prerequisite review completed
clothing,invsrc_0017,Timeline of historic inventions.wiki:41,Clothing,stitched clothing,craft,craft,paleolithic,-127974,-167974,-87974,1,0.52,0.36,0.62,hide_and_leather_clothing_footwear_and_shelter,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
bead,invsrc_0019,Timeline of historic inventions.wiki:43,Bead,strung beadwork,craft,toolmaking,paleolithic,-115474,-132974,-97974,1,0.52,0.36,0.55,,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
heat_treating_of_stone_blades,invsrc_0018,Timeline of historic inventions.wiki:42,Heat treating of stone blades,heat-treated stone blades,craft,toolmaking,paleolithic,-103474,-161974,-44974,1,0.52,0.36,0.55,control_of_fire_and_cooking;stone_tool,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
funerals,invsrc_0021,Timeline of historic inventions.wiki:45,Funerals,formal burial rites,culture,art,paleolithic,-97974,-97974,-97974,1,0.64,0.24,0.46,,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
ochre_processed_and_compound_paints_made,invsrc_0020,Timeline of historic inventions.wiki:44,"Ochre processed, and compound paints made",compound mineral paints,culture,art,paleolithic,-97974,-97974,-97974,1,0.64,0.24,0.46,,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
harpoons,invsrc_0022,Timeline of historic inventions.wiki:46,Harpoons,barbed fishing spears,craft,toolmaking,paleolithic,-87974,-87974,-87974,1,0.52,0.36,0.55,bone_tool;hafting,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
arrow,invsrc_0024,Timeline of historic inventions.wiki:49,Arrow,fletched arrows,military,warfare,paleolithic,-62974,-67974,-57974,1,0.29,0.46,0.24,hafting_and_early_stone_tipped_projectile_weapons,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
compound_adhesive,invsrc_0023,Timeline of historic inventions.wiki:48,Compound adhesive,compound tool glues,craft,craft,paleolithic,-62974,-67974,-57974,1,0.52,0.36,0.55,adhesive;control_of_fire_and_cooking,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
sewing_needle,invsrc_0025,Timeline of historic inventions.wiki:50,Sewing needle,eyed sewing needles,craft,toolmaking,paleolithic,-62974,-67974,-57974,1,0.52,0.36,0.55,bone_tool,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
cave_painting,invsrc_0026,Timeline of historic inventions.wiki:51,Cave painting,painted rock sanctuaries,culture,art,paleolithic,-59474,-59974,-58974,1,0.64,0.24,0.46,pigment,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
dentistry,invsrc_0027,Timeline of historic inventions.wiki:55,Dentistry,tooth drilling and dental repair,medicine,medicine,paleolithic,-51974,-56974,-46974,1,0.42,0.54,0.086,stone_tool,reviewed,curated third pass: row-level analogue/category/prerequisite review completed
representational_art,invsrc_0028,Timeline of historic inventions.wiki:56,Representational art,figurative image making,culture,art,paleolithic,-51474,-53774,-49174,1,0.64,0.24,0.46,pigment,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
mining,invsrc_0030,Timeline of historic inventions.wiki:61,Mining,hematite mine workings,material,materials,paleolithic,-44974,-44974,-44974,1,0.48,0.44,0.32,pigment;stone_tool,reviewed,curated third pass: row-level analogue/category/prerequisite review completed
tally_sticks,invsrc_0032,Timeline of historic inventions.wiki:63,Tally sticks,notched tally records,craft,toolmaking,paleolithic,-40974,-41974,-39974,1,0.52,0.36,0.55,,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
flute,invsrc_0033,Timeline of historic inventions.wiki:64,Flute,bone flutes,culture,art,paleolithic,-39974,-39974,-39974,1,0.64,0.24,0.46,bone_tool,reviewed,curated third pass: row-level analogue/category/prerequisite review completed
ground_stone_tools,invsrc_0029,Timeline of historic inventions.wiki:60,Ground stone tools,ground-edge tools,craft,craft,paleolithic,-37474,-46974,-27974,1,0.52,0.36,0.56,stone_tool,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
mortar_and_pestle,invsrc_0035,Timeline of historic inventions.wiki:66,Mortar and pestle,Mortar and pestle,craft,toolmaking,paleolithic,-34974,-34974,-34974,1,0.52,0.36,0.54,ground_stone_tools,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
amputation_and_surgery,invsrc_0037,Timeline of historic inventions.wiki:68,Amputation and surgery,limb surgery,medicine,medicine,paleolithic,-28974,-28974,-28974,1,0.42,0.54,0.086,,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
rope_and_cordage,invsrc_0036,Timeline of historic inventions.wiki:67,Rope and cordage,Rope and cordage,craft,craft,paleolithic,-27974,-29974,-25974,1,0.52,0.36,0.54,,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
spear_thrower,invsrc_0034,Timeline of historic inventions.wiki:65,Spear-thrower,lever spear throwers,military,warfare,paleolithic,-27724,-39974,-15474,1,0.29,0.46,0.216,hafting_and_early_stone_tipped_projectile_weapons,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
ceramics,invsrc_0038,Timeline of historic inventions.wiki:69,Ceramics,Ceramics,material,materials,paleolithic,-25974,-25974,-25974,1,0.48,0.44,0.32,control_of_fire_and_cooking,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
shoe,invsrc_0031,Timeline of historic inventions.wiki:62,Shoe,stitched footwear,domestic,household,paleolithic,-24974,-42974,-6974,1,0.52,0.36,0.55,hide_and_leather_clothing_footwear_and_shelter,reviewed,curated third pass: row-level analogue/category/prerequisite review completed
ceramic_sculpture,invsrc_0039,Timeline of historic inventions.wiki:70,Ceramic sculpture,fired clay figurines,culture,art,paleolithic,-21974,-21974,-21974,1,0.48,0.44,0.32,pigment,reviewed,curated third pass: row-level analogue/category/prerequisite review completed
domestication_of_the_dog,invsrc_0040,Timeline of historic inventions.wiki:71,Domestication of the dog,camp dogs,agriculture,agriculture,paleolithic,-20974,-20974,-20974,1,0.72,0.26,0.24,,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
fish_hook,invsrc_0042,Timeline of historic inventions.wiki:73,Fish hook,barbed fishing hooks,craft,toolmaking,paleolithic,-19974,-19974,-19974,1,0.52,0.36,0.55,bone_tool,reviewed,curated third pass: row-level analogue/category/prerequisite review completed
bullroarer,invsrc_0041,Timeline of historic inventions.wiki:72,Bullroarer,ritual sound boards,culture,art,paleolithic,-17474,-19974,-14974,1,0.64,0.24,0.46,woodworking,reviewed,curated third pass: row-level analogue/category/prerequisite review completed
pottery,invsrc_0044,Timeline of historic inventions.wiki:93,Pottery,Pottery,craft,craft,paleolithic,-15974,-17974,-13974,1,0.52,0.36,0.5,ceramics,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
bread,invsrc_0045,Timeline of historic inventions.wiki:94,Bread,Bread,agriculture,agriculture,paleolithic,-12474,-12474,-12474,1,0.72,0.26,0.24,mortar_and_pestle;control_of_fire_and_cooking,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
star_chart,invsrc_0043,Timeline of historic inventions.wiki:74,Star chart,marked star calendars,culture,art,paleolithic,-10324,-18974,-1674,1,0.64,0.24,0.46,,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
spindle_whorl,invsrc_0046,Timeline of historic inventions.wiki:95,Spindle whorl,spindle whorls,craft,textiles,neolithic,-9974,-9974,-9974,2,0.508,0.395,0.32,rope_and_cordage,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
agriculture,invsrc_0047,Timeline of historic inventions.wiki:103,Agriculture,Agriculture,agriculture,agriculture,neolithic,-9500,-10000,-9000,2,0.708,0.295,0.62,food_storage;mortar_and_pestle,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
alcohol_fermentation,invsrc_0049,Timeline of historic inventions.wiki:105,Alcohol fermentation,Alcohol fermentation,domestic,household,neolithic,-9500,-10000,-9000,2,0.668,0.235,0.46,food_storage,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
domestication_of_sheep,invsrc_0048,Timeline of historic inventions.wiki:104,Domestication of sheep,Domestication of sheep,agriculture,agriculture,neolithic,-9500,-10000,-9000,2,0.708,0.295,0.48,agriculture,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
surviving_building,invsrc_0050,Timeline of historic inventions.wiki:106,Surviving building,Surviving building,craft,toolmaking,neolithic,-9250,-9500,-9000,2,0.508,0.395,0.32,woodworking,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
mudbricks_and_clay_mortar,invsrc_0052,Timeline of historic inventions.wiki:108,"Mudbricks , and clay mortar",mudbrick and clay mortar,craft,toolmaking,neolithic,-9000,-9000,-9000,2,0.508,0.395,0.32,ceramics,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
water_well,invsrc_0053,Timeline of historic inventions.wiki:109,Water well,Water well,domestic,household,neolithic,-8400,-8400,-8400,2,0.668,0.235,0.46,ground_stone_tools,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
pesse_canoe,invsrc_0054,Timeline of historic inventions.wiki:110,Pesse canoe,sewn-plank canoe tradition,maritime,navigation,neolithic,-7775,-8040,-7510,2,0.568,0.495,0.24,boats;woodworking,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
proto_city,invsrc_0055,Timeline of historic inventions.wiki:111,Proto-city,Proto-city,craft,toolmaking,neolithic,-7750,-8000,-7500,2,0.508,0.395,0.32,agriculture;mudbricks_and_clay_mortar,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
domestication_of_rice,invsrc_0051,Timeline of historic inventions.wiki:107,Domestication of rice,Domestication of rice,agriculture,agriculture,neolithic,-7500,-9000,-6000,2,0.708,0.295,0.56,agriculture,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
copper_tools,invsrc_0057,Timeline of historic inventions.wiki:113,Copper tools,Copper tools,material,materials,neolithic,-7000,-7500,-6500,2,0.468,0.475,0.24,mining,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
sled_dog_and_dog_sled,invsrc_0058,Timeline of historic inventions.wiki:114,Sled dog and Dog sled,dog sled teams,craft,toolmaking,neolithic,-7000,-7000,-7000,2,0.508,0.395,0.32,domestication_of_the_dog,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
lead_smelting,invsrc_0059,Timeline of historic inventions.wiki:115,Lead smelting,Lead smelting,material,materials,neolithic,-6500,-6500,-6500,2,0.468,0.475,0.24,mining;control_of_fire_and_cooking,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
potatoes,invsrc_0056,Timeline of historic inventions.wiki:112,Potatoes,tuber cultivation,agriculture,agriculture,neolithic,-6500,-8000,-5000,2,0.708,0.295,0.56,agriculture,reviewed,curated third pass: row-level analogue/category/prerequisite review completed
kiln,invsrc_0060,Timeline of historic inventions.wiki:116,Kiln,Kiln,craft,craft,neolithic,-6000,-6000,-6000,2,0.508,0.395,0.32,pottery,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
salt_production,invsrc_0063,Timeline of historic inventions.wiki:166,Salt production,salt evaporation works,material,materials,neolithic,-5750,-5900,-5600,2,0.508,0.395,0.32,pottery,reviewed,curated third pass: row-level analogue/category/prerequisite review completed
irrigation,invsrc_0061,Timeline of historic inventions.wiki:117,Irrigation,Irrigation,agriculture,agriculture,neolithic,-5500,-6000,-5001,2,0.708,0.295,0.38,agriculture;water_well,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
sailing,invsrc_0065,Timeline of historic inventions.wiki:168,Sailing,Sailing,maritime,navigation,neolithic,-5500,-5500,-5500,2,0.568,0.495,0.28,boats;rope_and_cordage,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
evidence_of_cheese_found,invsrc_0064,Timeline of historic inventions.wiki:167,Evidence of cheese found,cheese making,domestic,household,neolithic,-5350,-5500,-5200,2,0.668,0.235,0.46,,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
copper_smelting,invsrc_0066,Timeline of historic inventions.wiki:169,Copper smelting,Copper smelting,material,materials,neolithic,-5000,-5000,-5000,2,0.468,0.475,0.24,copper_tools;kiln,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
cotton_thread,invsrc_0069,Timeline of historic inventions.wiki:172,Cotton thread,Cotton thread,material,materials,neolithic,-5000,-5000,-5000,2,0.468,0.475,0.24,spindle_whorl,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
seawall,invsrc_0067,Timeline of historic inventions.wiki:170,Seawall,Seawall,craft,toolmaking,neolithic,-5000,-5000,-5000,2,0.508,0.395,0.32,mudbricks_and_clay_mortar,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
rowing_oars,invsrc_0070,Timeline of historic inventions.wiki:173,Rowing oars,paired oar rowing,maritime,navigation,neolithic,-4750,-5000,-4500,2,0.568,0.495,0.24,boats;woodworking,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
proto_writing,invsrc_0062,Timeline of historic inventions.wiki:165,Proto-writing,Proto-writing,communication,writing,neolithic,-4600,-6000,-3200,2,0.688,0.475,0.3,tally_sticks,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
lacquer,invsrc_0068,Timeline of historic inventions.wiki:171,Lacquer,resin lacquer coatings,material,materials,neolithic,-4500,-5000,-4001,2,0.508,0.395,0.32,woodworking,reviewed,curated third pass: row-level analogue/category/prerequisite review completed
fired_bricks,invsrc_0072,Timeline of historic inventions.wiki:175,Fired bricks,Fired bricks,craft,toolmaking,neolithic,-4400,-4400,-4400,2,0.508,0.395,0.32,mudbricks_and_clay_mortar;kiln,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
evidence_of_locks_the_earliest_example_discovered,invsrc_0076,Timeline of historic inventions.wiki:189,"Evidence of locks, the earliest example discovered",pin lock mechanisms,administration,security,neolithic,-4000,-4000,-4000,2,0.568,0.535,0.2,,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
lost_wax_casting,invsrc_0071,Timeline of historic inventions.wiki:174,Lost-wax casting,Lost-wax casting,craft,toolmaking,neolithic,-4000,-4500,-3500,2,0.508,0.395,0.32,copper_smelting,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
paved_roads,invsrc_0074,Timeline of historic inventions.wiki:187,Paved roads,Paved roads,transport,transport,neolithic,-4000,-4000,-4000,2,0.528,0.495,0.22,fired_bricks,reviewed,curated third pass: local analogue wording tightened while preserving prior balance
plumbing,invsrc_0075,Timeline of historic inventions.wiki:188,Plumbing,Plumbing,domestic,sanitation,neolithic,-4000,-4000,-4000,2,0.668,0.235,0.46,water_well;fired_bricks,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
probable_time_period_of_the_first_diamond_mines_in,invsrc_0073,Timeline of historic inventions.wiki:176,Probable time period of the first diamond-mines in,hard-stone gem mining,material,materials,neolithic,-4000,-4000,-4000,2,0.468,0.475,0.24,,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
evidence_of_wheels_found,invsrc_0077,Timeline of historic inventions.wiki:190,"Evidence of wheels, found",solid wheels,transport,transport,neolithic,-3700,-4000,-3400,2,0.528,0.495,0.22,woodworking,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
silk_garments,invsrc_0078,Timeline of historic inventions.wiki:191,Silk garments,sericulture and silk weaving,craft,textiles,neolithic,-3630,-3630,-3630,2,0.508,0.395,0.32,spindle_whorl,reviewed,curated third pass: row-level analogue/category/prerequisite review completed
ploughing,invsrc_0082,Timeline of historic inventions.wiki:195,Ploughing,Ploughing,agriculture,agriculture,neolithic,-3500,-3500,-3500,2,0.708,0.295,0.56,agriculture,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
probable_first_domestication_of_the_horse,invsrc_0079,Timeline of historic inventions.wiki:192,Probable first domestication of the horse,horse domestication,agriculture,agriculture,neolithic,-3500,-3500,-3500,2,0.708,0.295,0.56,agriculture,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
seal_invented_around,invsrc_0081,Timeline of historic inventions.wiki:194,Seal invented around,seal-stamp administration,administration,accounting,neolithic,-3500,-3500,-3500,2,0.568,0.535,0.2,proto_writing,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
wine_as_general_anaesthesia,invsrc_0080,Timeline of historic inventions.wiki:193,Wine as general anaesthesia,sedating surgical wine,medicine,medicine,neolithic,-3500,-3500,-3500,2,0.408,0.575,0.086,,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
writing,invsrc_0084,Timeline of historic inventions.wiki:202,Writing,Writing,communication,writing,neolithic,-3500,-4000,-3001,2,0.688,0.475,0.42,proto_writing,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
city,invsrc_0086,Timeline of historic inventions.wiki:204,City,City,administration,civics,bronze_age,-3300,-3300,-3300,3,0.556,0.57,0.34,proto_city;writing,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
documented_swords,invsrc_0085,Timeline of historic inventions.wiki:203,Documented swords,cast bronze swords,military,warfare,bronze_age,-3300,-3300,-3300,3,0.266,0.53,0.115,copper_smelting,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
hat,invsrc_0087,Timeline of historic inventions.wiki:205,Hat,stitched caps,domestic,household,bronze_age,-3250,-3250,-3250,3,0.496,0.43,0.18,sewing_needle,reviewed,curated third pass: row-level analogue/category/prerequisite review completed
tattoos,invsrc_0083,Timeline of historic inventions.wiki:196,Tattoos,ritual tattooing,culture,art,bronze_age,-3250,-3400,-3100,3,0.496,0.43,0.18,pigment,reviewed,curated third pass: row-level analogue/category/prerequisite review completed
dry_latrines,invsrc_0088,Timeline of historic inventions.wiki:206,Dry Latrines,dry latrines,domestic,household,bronze_age,-3200,-3200,-3200,3,0.656,0.27,0.28,,reviewed,curated second pass: source-title artifact localized and category/prerequisite balance reviewed
ljubljana_marshes_wheel,invsrc_0089,Timeline of historic inventions.wiki:207,Ljubljana Marshes Wheel,spoked wagon wheels,transport,transport,bronze_age,-3200,-3200,-3200,3,0.516,0.53,0.24,,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
dice,invsrc_0090,Timeline of historic inventions.wiki:208,Dice,gaming dice and lots,culture,art,bronze_age,-3000,-3000,-3000,3,0.616,0.31,0.24,woodworking,reviewed,curated third pass: row-level analogue/category/prerequisite review completed
receipt,invsrc_0094,Timeline of historic inventions.wiki:224,Receipt,written receipts,administration,accounting,bronze_age,-3000,-3000,-3000,3,0.556,0.57,0.34,writing,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
reservoir,invsrc_0093,Timeline of historic inventions.wiki:211,Reservoir,Reservoir,agriculture,irrigation,bronze_age,-3000,-3000,-3000,3,0.696,0.33,0.36,irrigation,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
tin_extraction,invsrc_0091,Timeline of historic inventions.wiki:209,Tin extraction,Tin extraction,material,materials,bronze_age,-3000,-3000,-3000,3,0.456,0.51,0.22,mining,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
prosthesis,invsrc_0095,Timeline of historic inventions.wiki:225,Prosthesis,Prosthesis,medicine,medicine,bronze_age,-2900,-3000,-2800,3,0.396,0.61,0.072,,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
papyrus,invsrc_0092,Timeline of historic inventions.wiki:210,Papyrus,Papyrus,communication,writing,bronze_age,-2780,-3000,-2560,3,0.676,0.51,0.3,writing,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
rhinoplasty,invsrc_0096,Timeline of historic inventions.wiki:226,Rhinoplasty,reconstructive surgery,medicine,medicine,bronze_age,-2750,-3000,-2500,3,0.396,0.61,0.072,,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
ruler_or_measuring_rod,invsrc_0097,Timeline of historic inventions.wiki:227,"Ruler, or Measuring rod",measuring rods,material,materials,bronze_age,-2650,-2650,-2650,3,0.456,0.51,0.22,,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
levee,invsrc_0101,Timeline of historic inventions.wiki:231,Levee,Levee,agriculture,irrigation,bronze_age,-2600,-2600,-2600,3,0.696,0.33,0.36,,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
planned_city,invsrc_0098,Timeline of historic inventions.wiki:228,Planned city,Planned city,administration,civics,bronze_age,-2600,-2600,-2600,3,0.556,0.57,0.34,,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
public_bath,invsrc_0100,Timeline of historic inventions.wiki:230,Public bath,Public bath,domestic,sanitation,bronze_age,-2600,-2600,-2600,3,0.656,0.27,0.28,,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
public_sewage_and_sanitation_systems,invsrc_0099,Timeline of historic inventions.wiki:229,Public sewage and sanitation systems,public sewers,domestic,sanitation,bronze_age,-2600,-2600,-2600,3,0.656,0.27,0.28,plumbing,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
weighing_scale,invsrc_0102,Timeline of historic inventions.wiki:232,Weighing scale,Weighing scale,craft,toolmaking,bronze_age,-2600,-2600,-2600,3,0.496,0.43,0.18,long_distance_trade,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
dock,invsrc_0103,Timeline of historic inventions.wiki:233,Dock,Dock,maritime,navigation,bronze_age,-2556,-2556,-2556,3,0.556,0.53,0.24,,reviewed,curated first pass: local analogue/category/prerequisites reviewed; rank retiered to broad era progression
puppetry,invsrc_0104,Timeline of historic inventions.wiki:234,Puppetry,puppet theatre,culture,art,bronze_age,-2500,-2500,-2500,3,0.496,0.43,0.18,woodworking,reviewed,curated third pass: row-level analogue/category/prerequisite review completed
fork,invsrc_0105,Timeline of historic inventions.wiki:235,Fork,table forks,domestic,household,bronze_age,-2400,-2400,-2400,3,0.456,0.51,0.22,copper_tools,reviewed,curated third pass: row-level analogue/category/prerequisite review completed
